dataset,n_features,n_samples,a,t,scoring,fraction,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Iris,4,150,7,8,validation,1.0,0.9277777777777776,0.9233333333333333,-0.004444444444444444,0.014935568159722776,0.601338008523961,30,n.s.
Iris,4,150,7,8,validation,0.75,0.9244444444444441,0.9199999999999998,-0.004444444444444444,0.012813902624426497,0.5534482850205262,30,n.s.
Iris,4,150,7,8,validation,0.5,0.8911111111111109,0.9099999999999999,0.018888888888888893,0.020224202673432515,0.10255531797883327,30,n.s.
Iris,4,150,7,8,validation,0.25,0.8333333333333333,0.8655555555555554,0.03222222222222223,0.03395301288347581,0.09815459144675795,30,n.s.
Iris,4,150,7,8,validation,0.1,0.8333333333333333,0.8655555555555554,0.03222222222222223,0.03395301288347581,0.09815459144675795,30,n.s.
Iris,4,150,7,8,validation,0.05,0.8333333333333333,0.8655555555555554,0.03222222222222223,0.03395301288347581,0.09815459144675795,30,n.s.
Iris,4,150,7,8,fisher,1.0,0.9277777777777776,0.9233333333333333,-0.004444444444444444,0.014935568159722776,0.601338008523961,30,n.s.
Iris,4,150,7,8,fisher,0.75,0.921111111111111,0.9155555555555555,-0.005555555555555554,0.018816702271554655,0.44776637607559244,30,n.s.
Iris,4,150,7,8,fisher,0.5,0.8322222222222222,0.8733333333333332,0.041111111111111126,0.034269441474684165,0.0248946573911149,30,n.s.
Iris,4,150,7,8,fisher,0.25,0.7377777777777779,0.7677777777777778,0.030000000000000006,0.0622058330906201,0.3268989167599251,30,n.s.
Iris,4,150,7,8,fisher,0.1,0.7377777777777779,0.7677777777777778,0.030000000000000006,0.0622058330906201,0.3268989167599251,30,n.s.
Iris,4,150,7,8,fisher,0.05,0.7377777777777779,0.7677777777777778,0.030000000000000006,0.0622058330906201,0.3268989167599251,30,n.s.
Wine,13,178,7,8,validation,1.0,0.9657407407407406,0.9629629629629629,-0.0027777777777777753,0.010227350315693728,0.7035506777849043,30,n.s.
Wine,13,178,7,8,validation,0.75,0.962037037037037,0.9638888888888886,0.0018518518518518526,0.010741876894152149,0.7190016421739517,30,n.s.
Wine,13,178,7,8,validation,0.5,0.9583333333333331,0.9499999999999998,-0.008333333333333333,0.015695064070771137,0.36643660225031416,30,n.s.
Wine,13,178,7,8,validation,0.25,0.9120370370370369,0.9259259259259257,0.013888888888888899,0.025808771058397385,0.2149470903666636,30,n.s.
Wine,13,178,7,8,validation,0.1,0.850925925925926,0.8481481481481482,-0.0027777777777777866,0.03305547667333387,0.8585295088255424,30,n.s.
Wine,13,178,7,8,validation,0.05,0.7666666666666667,0.737037037037037,-0.02962962962962962,0.041020297105318244,0.170248642154878,30,n.s.
Wine,13,178,7,8,fisher,1.0,0.9657407407407406,0.9629629629629629,-0.0027777777777777753,0.010227350315693728,0.7035506777849043,30,n.s.
Wine,13,178,7,8,fisher,0.75,0.9518518518518516,0.9546296296296295,0.0027777777777777827,0.012061682207066077,0.4467104479526586,30,n.s.
Wine,13,178,7,8,fisher,0.5,0.9351851851851851,0.936111111111111,0.0009259259259259152,0.019791554841983538,0.8060377177045265,30,n.s.
Wine,13,178,7,8,fisher,0.25,0.8787037037037035,0.8907407407407407,0.012037037037037035,0.03236102939419665,0.6650735525618807,30,n.s.
Wine,13,178,7,8,fisher,0.1,0.7861111111111111,0.8046296296296297,0.01851851851851851,0.05137494604495456,0.545745251189087,30,n.s.
Wine,13,178,7,8,fisher,0.05,0.6472222222222221,0.6740740740740742,0.02685185185185186,0.06364712395749798,0.44885743847105886,30,n.s.
Seeds,7,210,7,8,validation,1.0,0.8849206349206349,0.9,0.015079365079365085,0.01878474785056431,0.11783165472502301,30,n.s.
Seeds,7,210,7,8,validation,0.75,0.8793650793650791,0.896031746031746,0.01666666666666667,0.023052718747139954,0.09118318008112467,30,n.s.
Seeds,7,210,7,8,validation,0.5,0.8674603174603175,0.8865079365079362,0.019047619047619046,0.02173942983857346,0.07768681371325217,30,n.s.
Seeds,7,210,7,8,validation,0.25,0.8047619047619047,0.8357142857142855,0.030952380952380953,0.026676913740015157,0.04173091062480463,30,n.s.
Seeds,7,210,7,8,validation,0.1,0.7396825396825398,0.7563492063492063,0.016666666666666677,0.03684401554501736,0.26328376326044267,30,n.s.
Seeds,7,210,7,8,validation,0.05,0.7396825396825398,0.7563492063492063,0.016666666666666677,0.03684401554501736,0.26328376326044267,30,n.s.
Seeds,7,210,7,8,fisher,1.0,0.8849206349206349,0.9,0.015079365079365085,0.01878474785056431,0.11783165472502301,30,n.s.
Seeds,7,210,7,8,fisher,0.75,0.8785714285714283,0.8936507936507936,0.015079365079365088,0.023940503804955292,0.19397302768618052,30,n.s.
Seeds,7,210,7,8,fisher,0.5,0.8579365079365079,0.8730158730158728,0.015079365079365088,0.02904294320521399,0.2983339447544495,30,n.s.
Seeds,7,210,7,8,fisher,0.25,0.7547619047619046,0.7626984126984127,0.007936507936507938,0.038711472696711414,0.6647840686945228,30,n.s.
Seeds,7,210,7,8,fisher,0.1,0.6150793650793651,0.6380952380952382,0.023015873015873024,0.05094828302931895,0.28422312529070815,30,n.s.
Seeds,7,210,7,8,fisher,0.05,0.6150793650793651,0.6380952380952382,0.023015873015873024,0.05094828302931895,0.28422312529070815,30,n.s.
Glass,9,214,7,8,validation,1.0,0.6751937984496125,0.7015503875968994,0.026356589147286825,0.02431007751937984,0.029322406037723212,30,n.s.
Glass,9,214,7,8,validation,0.75,0.6635658914728683,0.6906976744186047,0.027131782945736427,0.025587939512713515,0.05300820253675954,30,n.s.
Glass,9,214,7,8,validation,0.5,0.6395348837209304,0.6589147286821705,0.0193798449612403,0.02997216700443014,0.1487823691937881,30,n.s.
Glass,9,214,7,8,validation,0.25,0.5999999999999999,0.6224806201550386,0.02248062015503875,0.026540827519623385,0.10872735594147855,30,n.s.
Glass,9,214,7,8,validation,0.1,0.5093023255813954,0.527906976744186,0.0186046511627907,0.03031415878796696,0.10804277517622232,30,n.s.
Glass,9,214,7,8,validation,0.05,0.5093023255813954,0.527906976744186,0.0186046511627907,0.03031415878796696,0.10804277517622232,30,n.s.
