dataset,f4rm_best_acc,random_best_acc,best_acc_delta,f4rm_best_mem,random_best_mem,best_mem_ratio,f4rm_iso_acc,random_iso_acc
Balance Scale,0.9029333333333335,0.9010666666666668,0.0018666666666666831,21446.666666666668,17496.166666666668,1.2257923164121665,0.8986666666666668,0.8970666666666669
Banknote,0.9996363636363637,0.9995151515151515,0.0001212121212121886,2713.3333333333335,3939.6666666666665,0.6887215500465353,0.9952727272727272,0.9961212121212121
Breast Cancer,0.9678362573099413,0.966081871345029,0.0017543859649122862,61806.0,40596.0,1.5224652675140409,0.966081871345029,0.9616959064327483
EEG Eye State,0.9427347574543836,0.9375278148642636,0.005206942590120001,3407130.5,3284032.6666666665,1.0374837420415428,0.939853137516689,0.9347574543836225
Ecoli,0.8700980392156865,0.8735294117647059,-0.0034313725490193736,28332.333333333332,51098.166666666664,0.5544686860911513,0.8676470588235293,0.8720588235294117
Glass,0.7488372093023258,0.7689922480620157,-0.020155038759689936,74000.5,35539.5,2.0822043078827783,0.7457364341085273,0.7689922480620157
Haberman,0.7483870967741933,0.7440860215053763,0.004301075268817067,944.6666666666666,114.66666666666667,8.238372093023255,0.7435483870967742,0.7419354838709677
Ionosphere,0.9483568075117371,0.9483568075117372,-1.1102230246251565e-16,88868.16666666667,83379.66666666667,1.0658254010770012,0.945070422535211,0.9436619718309858
Iris,0.961111111111111,0.9622222222222221,-0.0011111111111110628,3920.3333333333335,7248.333333333333,0.5408599678086917,0.9588888888888889,0.9577777777777777
Letter Recognition,0.9534000000000001,0.95305,0.0003500000000001835,2205442.3333333335,1797893.1666666667,1.226681526034315,0.9508333333333335,0.9482500000000001
Magic Gamma,0.8697861899754644,0.870031545741325,-0.0002453557658605998,1051491.8333333333,805696.8333333334,1.3050713243877297,0.8651156677181914,0.8658867858394673
Pendigits,0.9911778080945884,0.9906169470971654,0.0005608609974230294,105182.33333333333,144921.33333333334,0.7257891637762095,0.9862968015764743,0.9870395634379263
Pima Diabetes,0.7582251082251082,0.7601731601731602,-0.001948051948051921,44347.333333333336,28641.0,1.5483863459143652,0.753896103896104,0.7558441558441559
SatImage,0.9087350959046138,0.9070762052877138,0.001658890616899944,587678.3333333334,555129.3333333334,1.0586331833782878,0.9044841886988079,0.9022291342664592
Seeds,0.9253968253968253,0.9269841269841269,-0.0015873015873015817,4799.166666666667,19731.666666666668,0.24322155587465158,0.922222222222222,0.9269841269841269
Segment,0.9673160173160174,0.9715728715728715,-0.004256854256854181,55638.5,113196.83333333333,0.4915199335670462,0.9630591630591632,0.9666666666666668
Steel Plates,0.9928877463581836,0.9831191088260497,0.009768637532133861,313228.6666666667,548232.0,0.5713432755962197,0.9889460154241644,0.9800342759211652
Vehicle,0.7458823529411764,0.7505882352941177,-0.004705882352941226,93250.16666666667,180236.66666666666,0.5173762275526623,0.7417647058823529,0.7505882352941177
Waveform,0.8417666666666667,0.8465000000000001,-0.004733333333333478,978757.6666666666,894605.5,1.0940662299378516,0.8378666666666666,0.8432999999999997
Wine,0.9833333333333333,0.9851851851851852,-0.0018518518518518823,27375.666666666668,14049.833333333334,1.948469139610197,0.9796296296296295,0.9851851851851852
Yeast,0.6039281705948373,0.6028058361391694,0.001122334455667895,255792.83333333334,246405.16666666666,1.0380984976640777,0.6031425364758698,0.6006734006734007
