method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
F4RM,Iris,2,2,1,0.717777777777778,141.16666666666666,0.00018290126075347265,2.8716692597501803,30
Random,Iris,2,2,1,0.7177777777777777,141.0,0.0002320903236977756,3.7003214108861155,30
F4RM,Iris,2,2,2,0.883333333333333,141.16666666666666,0.00018568063775698345,2.6329632641540637,30
Random,Iris,2,2,2,0.8833333333333333,141.0,0.00017626944463700056,2.4774978454742165,30
F4RM,Iris,2,2,3,0.9344444444444443,141.16666666666666,0.00018224019246796766,2.545558769876758,30
Random,Iris,2,2,3,0.931111111111111,141.0,0.00017459032436211903,2.4888431653380394,30
F4RM,Iris,2,2,4,0.9188888888888889,141.16666666666666,0.00017931096566220123,2.532635116949678,30
Random,Iris,2,2,4,0.9211111111111111,141.0,0.00017436672933399678,2.514213427073426,30
F4RM,Iris,4,2,1,0.7833333333333333,123.66666666666667,0.0001427583978511393,1.5756503368417423,30
Random,Iris,4,2,1,0.7822222222222223,122.33333333333333,0.00013963336823508143,1.6236598862128124,30
F4RM,Iris,4,2,2,0.9255555555555552,123.66666666666667,0.0001406625572902461,1.522130203536815,30
Random,Iris,4,2,2,0.9244444444444444,122.33333333333333,0.00014129160748173794,1.5360653762602143,30
F4RM,Iris,4,2,3,0.9166666666666665,123.66666666666667,0.00014381675670544308,1.5385179883903926,30
Random,Iris,4,2,3,0.9222222222222222,122.33333333333333,0.00013841390221690139,1.496894078122245,30
F4RM,Iris,4,2,4,0.908888888888889,123.66666666666667,0.00014268751256167888,1.5318529525150855,30
Random,Iris,4,2,4,0.9111111111111111,122.33333333333333,0.00014232362542922298,1.5457878665377696,30
F4RM,Iris,8,2,1,0.8044444444444443,121.16666666666667,0.00012286659718180697,0.9864355282237133,30
Random,Iris,8,2,1,0.8044444444444443,121.16666666666667,0.00012027488555759192,1.0166164591080613,30
F4RM,Iris,8,2,2,0.8677777777777776,121.16666666666667,0.00012390696986888845,1.0056515586458976,30
Random,Iris,8,2,2,0.8677777777777776,121.16666666666667,0.0001221610698848963,1.0163903546830018,30
F4RM,Iris,8,2,3,0.8399999999999999,121.16666666666667,0.0001244249443213145,1.0015735299222999,30
Random,Iris,8,2,3,0.8399999999999999,121.16666666666667,0.00012029585195705295,1.003241114732292,30
F4RM,Iris,8,2,4,0.798888888888889,121.16666666666667,0.00012356931498895088,1.0118057899590995,30
Random,Iris,8,2,4,0.798888888888889,121.16666666666667,0.00012078613508492708,0.9969500307407643,30
F4RM,Iris,2,4,1,0.8677777777777778,294.0,0.00026023605993638437,4.597823394255506,30
Random,Iris,2,4,1,0.881111111111111,285.1666666666667,0.0002486236742697656,4.565924173220991,30
F4RM,Iris,2,4,2,0.8977777777777778,294.0,0.00025290407550831637,4.566345596686006,30
Random,Iris,2,4,2,0.9022222222222223,285.1666666666667,0.0002493987325578928,4.527592100203038,30
F4RM,Iris,2,4,3,0.9,294.0,0.00025372090361391506,4.613381137864456,30
Random,Iris,2,4,3,0.9000000000000001,285.1666666666667,0.000255226471927017,4.66666740572287,30
F4RM,Iris,2,4,4,0.9133333333333333,294.0,0.00025039161555469037,4.4510186287677955,30
Random,Iris,2,4,4,0.9011111111111112,285.1666666666667,0.00024984299282853803,4.574816880954637,30
F4RM,Iris,4,4,1,0.8866666666666666,268.3333333333333,0.0001825900903592507,2.685555696694387,30
Random,Iris,4,4,1,0.8833333333333334,257.0,0.00018026796557630103,2.724072352672617,30
F4RM,Iris,4,4,2,0.9111111111111111,268.3333333333333,0.0001832791332465907,2.80685528802375,30
Random,Iris,4,4,2,0.9044444444444445,257.0,0.0001804194995202124,2.7323154629104667,30
F4RM,Iris,4,4,3,0.9333333333333333,268.3333333333333,0.00018308600798870126,2.6494487085276175,30
Random,Iris,4,4,3,0.91,257.0,0.00017801950452849268,2.63842728195919,30
F4RM,Iris,4,4,4,0.9322222222222221,268.3333333333333,0.0001825889068034788,2.7020329919954147,30
Random,Iris,4,4,4,0.9133333333333333,257.0,0.0001783124986104667,2.6801833882927895,30
F4RM,Iris,8,4,1,0.89,290.6666666666667,0.00014964023139327765,1.737912858111991,30
