method,dataset,best_acc_a,best_acc_t,best_acc_bleach,best_acc_value,best_acc_mem,iso_acc_threshold,best_mem_a,best_mem_t,best_mem_bleach,best_mem_value,best_mem_acc
F4RM,Iris,12,128,1,0.961111111111111,7897.166666666667,0.956111111111111,20,64,1,3920.3333333333335,0.9588888888888889
Random,Iris,16,128,1,0.9622222222222221,7456.666666666667,0.9572222222222221,8,128,1,7248.333333333333,0.9577777777777777
F4RM,Wine,8,256,2,0.9833333333333333,107790.5,0.9783333333333333,8,64,1,27375.666666666668,0.9796296296296295
Random,Wine,12,32,1,0.9851851851851852,14049.833333333334,0.9801851851851852,12,32,1,14049.833333333334,0.9851851851851852
F4RM,Breast Cancer,16,256,1,0.9678362573099413,566007.5,0.9628362573099413,12,32,1,61806.0,0.966081871345029
Random,Breast Cancer,20,256,1,0.966081871345029,560135.1666666666,0.961081871345029,8,32,1,40596.0,0.9616959064327483
F4RM,Seeds,16,256,1,0.9253968253968253,40957.666666666664,0.9203968253968253,8,32,1,4799.166666666667,0.922222222222222
Random,Seeds,20,128,1,0.9269841269841269,19731.666666666668,0.9219841269841269,20,128,1,19731.666666666668,0.9269841269841269
F4RM,Glass,16,256,1,0.7488372093023258,82124.83333333333,0.7438372093023258,20,256,1,74000.5,0.7457364341085273
Random,Glass,20,128,1,0.7689922480620157,35539.5,0.7639922480620157,20,128,1,35539.5,0.7689922480620157
F4RM,Haberman,2,256,4,0.7483870967741933,14793.666666666666,0.7433870967741933,2,16,4,944.6666666666666,0.7435483870967742
Random,Haberman,2,128,4,0.7440860215053763,6758.833333333333,0.7390860215053763,2,2,1,114.66666666666667,0.7419354838709677
F4RM,Ecoli,12,128,1,0.8700980392156865,28657.0,0.8650980392156865,8,128,1,28332.333333333332,0.8676470588235293
Random,Ecoli,8,256,2,0.8735294117647059,51098.166666666664,0.8685294117647059,8,256,1,51098.166666666664,0.8720588235294117
F4RM,Ionosphere,8,256,1,0.9483568075117371,350556.8333333333,0.9433568075117371,8,64,1,88868.16666666667,0.945070422535211
Random,Ionosphere,8,256,1,0.9483568075117372,329454.8333333333,0.9433568075117372,8,64,1,83379.66666666667,0.9436619718309858
F4RM,Balance Scale,8,256,2,0.9029333333333335,42723.833333333336,0.8979333333333335,8,128,4,21446.666666666668,0.8986666666666668
Random,Balance Scale,8,256,4,0.9010666666666668,34926.166666666664,0.8960666666666668,8,128,4,17496.166666666668,0.8970666666666669
F4RM,Pima Diabetes,8,256,3,0.7582251082251082,173946.66666666666,0.7532251082251082,8,64,3,44347.333333333336,0.753896103896104
Random,Pima Diabetes,4,256,4,0.7601731601731602,57053.5,0.7551731601731602,4,128,4,28641.0,0.7558441558441559
F4RM,Vehicle,8,256,1,0.7458823529411764,291640.5,0.7408823529411764,4,128,1,93250.16666666667,0.7417647058823529
Random,Vehicle,4,256,1,0.7505882352941177,180236.66666666666,0.7455882352941177,4,256,1,180236.66666666666,0.7505882352941177
F4RM,Banknote,32,64,1,0.9996363636363637,14216.333333333334,0.9946363636363637,12,16,1,2713.3333333333335,0.9952727272727272
Random,Banknote,48,256,1,0.9995151515151515,56410.833333333336,0.9945151515151515,24,16,1,3939.6666666666665,0.9961212121212121
F4RM,Yeast,16,256,1,0.6039281705948373,292257.3333333333,0.5989281705948373,12,256,1,255792.83333333334,0.6031425364758698
Random,Yeast,20,256,1,0.6028058361391694,268170.3333333333,0.5978058361391694,16,256,1,246405.16666666666,0.6006734006734007
F4RM,Steel Plates,32,256,1,0.9928877463581836,1341842.1666666667,0.9878877463581835,20,64,1,313228.6666666667,0.9889460154241644
Random,Steel Plates,20,256,1,0.9831191088260497,1081328.8333333333,0.9781191088260497,20,128,1,548232.0,0.9800342759211652
F4RM,Segment,24,256,1,0.9673160173160174,608084.1666666666,0.9623160173160173,12,32,1,55638.5,0.9630591630591632
Random,Segment,24,128,1,0.9715728715728715,270873.0,0.9665728715728715,16,64,1,113196.83333333333,0.9666666666666668
F4RM,Waveform,12,256,1,0.8417666666666667,4577288.5,0.8367666666666667,8,128,4,978757.6666666666,0.8378666666666666
Random,Waveform,8,256,2,0.8465000000000001,1770487.1666666667,0.8415000000000001,8,128,3,894605.5,0.8432999999999997
F4RM,SatImage,32,256,1,0.9087350959046138,2699221.0,0.9037350959046138,24,64,1,587678.3333333334,0.9044841886988079
Random,SatImage,32,256,1,0.9070762052877138,2530625.3333333335,0.9020762052877138,24,64,1,555129.3333333334,0.9022291342664592
F4RM,Pendigits,20,256,1,0.9911778080945884,1501379.8333333333,0.9861778080945884,20,16,1,105182.33333333333,0.9862968015764743
Random,Pendigits,20,256,1,0.9906169470971654,1335228.8333333333,0.9856169470971654,16,32,1,144921.33333333334,0.9870395634379263
F4RM,EEG Eye State,32,256,1,0.9427347574543836,3597387.0,0.9377347574543836,28,256,1,3407130.5,0.939853137516689
Random,EEG Eye State,48,256,1,0.9375278148642636,3443006.6666666665,0.9325278148642636,32,256,1,3284032.6666666665,0.9347574543836225
F4RM,Magic Gamma,24,256,1,0.8697861899754644,1883821.8333333333,0.8647861899754644,16,256,1,1051491.8333333333,0.8651156677181914
Random,Magic Gamma,28,256,1,0.870031545741325,1921734.3333333333,0.865031545741325,16,256,2,805696.8333333334,0.8658867858394673
F4RM,Letter Recognition,20,256,1,0.9534000000000001,4676438.833333333,0.9484000000000001,16,128,1,2205442.3333333335,0.9508333333333335
Random,Letter Recognition,24,256,1,0.95305,4375878.5,0.94805,16,128,1,1797893.1666666667,0.9482500000000001
