dataset,n_features,n_samples,a,t,random_acc_mean,random_acc_std,f4rm_acc_mean,f4rm_acc_std,paired_delta_mean,paired_delta_ci_half,paired_delta_ci_low,paired_delta_ci_high,wilcoxon_p,n_paired,significance
Iris,4,150,7,8,0.931,0.045881161279520175,0.9351666666666668,0.04012786653696513,0.004166666666666666,0.0058019187607663576,-0.0016352520940996918,0.009968585427433023,0.1460797176966949,200,n.s.
Wine,13,178,7,8,0.9662499999999998,0.02905728472594939,0.9672222222222221,0.029041601262389374,0.0009722222222222226,0.00450711246276724,-0.0035348902405450177,0.0054793346849894625,0.810007440285194,200,n.s.
Seeds,7,210,7,8,0.8900000000000001,0.04172414249351756,0.8986904761904764,0.04646835963316211,0.008690476190476191,0.00548765377387567,0.0032028224166005216,0.01417812996435186,0.003653156714444467,200,n.s.
Glass,9,214,7,8,0.6923255813953488,0.06028911557471157,0.7016279069767442,0.06469882380307035,0.009302325581395347,0.00933134191371978,-2.901633232443336e-05,0.01863366749511513,0.029252166858583065,200,n.s.
Haberman,3,306,6,8,0.7320967741935485,0.020819770404419454,0.7290322580645161,0.023094674937721767,-0.0030645161290322577,0.003909786421279054,-0.006974302550311312,0.0008452702922467966,0.1234153176523931,200,n.s.
Ecoli,7,336,8,8,0.8033088235294116,0.03725106906814566,0.8149264705882353,0.03892981793634593,0.011617647058823535,0.005888625963487479,0.005729021095336056,0.017506273022311013,0.0002836013387707142,200,+++
Ionosphere,34,351,8,8,0.9048591549295775,0.03294792403111528,0.8971126760563379,0.034418783856740236,-0.007746478873239439,0.005191350937523481,-0.01293782981076292,-0.0025551279357159586,0.0031986479432418286,200,n.s.
Breast Cancer,30,569,9,8,0.9599561403508773,0.018077434349916342,0.9617105263157896,0.01725893778931501,0.0017543859649122783,0.00221402057129412,-0.00045963460638184144,0.003968406536206398,0.09150066445457583,200,n.s.
Balance Scale,4,625,8,8,0.62468,0.07418364825446176,0.70196,0.055500992792967455,0.07728,0.012627656323081863,0.06465234367691813,0.08990765632308187,1.1723569640432418e-21,200,+++
Pima Diabetes,8,768,9,8,0.697987012987013,0.0295461089448202,0.7053571428571428,0.030362745831524873,0.007370129870129876,0.0053578640029273965,0.002012265867202479,0.012727993873057272,0.00555327660057973,200,n.s.
Vehicle,18,846,9,8,0.6737058823529413,0.029003432123794814,0.6872058823529411,0.02991550584929599,0.013500000000000005,0.005193413220693588,0.008306586779306416,0.018693413220693594,6.852240903799498e-07,200,+++
Banknote,4,1372,8,8,0.9182181818181817,0.04203706989848051,0.9478363636363636,0.02739603008444939,0.029618181818181818,0.006886908924811161,0.022731272893370656,0.03650509074299298,7.54424554931504e-14,200,+++
Yeast,8,1484,10,8,0.4508417508417509,0.025342883532838763,0.4697138047138047,0.024631548450855294,0.01887205387205387,0.004624712672491184,0.014247341199562686,0.023496766544545054,3.281619656108719e-12,200,+++
Steel Plates,33,1941,10,8,0.8519280205655526,0.02487445638119477,0.8714010282776349,0.029814168104558017,0.019473007712082265,0.005251848273223892,0.014221159438858374,0.024724855985306157,4.003188694880916e-11,200,+++
Segment,19,2310,11,8,0.9314285714285714,0.014275064142542536,0.9356818181818182,0.013189159470690427,0.004253246753246754,0.002155341172025897,0.0020979055812208568,0.0064085879252726505,0.0003536239219229026,200,+++
Waveform,40,5000,12,8,0.773535,0.013381858829349662,0.7782600000000001,0.012813011602728634,0.004725000000000004,0.0023323398898550474,0.002392660110144957,0.007057339889855052,0.0006687402334998409,200,+++
SatImage,36,6430,12,8,0.8282776049766718,0.014326619920305126,0.8327021772939347,0.014205988228357985,0.004424572317262831,0.00243057152981694,0.001994000787445891,0.006855143847079772,0.0001725700706818353,200,+++
Pendigits,16,10992,13,8,0.9602228285584357,0.0064390650980138305,0.9679422464756707,0.0050802959697100105,0.007719417917235107,0.0010071677923973782,0.006712250124837729,0.008726585709632485,1.0500263312482306e-25,200,+++
EEG Eye State,14,14980,13,8,0.6987633511348464,0.012316776551013014,0.7376251668891857,0.010674612952813547,0.03886181575433912,0.0020966274863226464,0.036765188268016474,0.040958443240661765,1.4771031843435367e-34,200,+++
Magic Gamma,10,19020,14,8,0.7663459516298633,0.011907811769436501,0.7831388012618297,0.008615917613448905,0.016792849631966353,0.00191865806035402,0.014874191571612332,0.018711507692320373,1.0499437513881494e-29,200,+++
Letter Recognition,16,20000,14,8,0.8541150000000001,0.010507858987563191,0.87516625,0.006547290163105604,0.02105125,0.0015975059570787233,0.019453744042921276,0.022648755957078725,4.1895230463879055e-34,200,+++
