dataset,n_features,n_samples,a,t,K,random_mean,random_std,f4rm_mean,f4rm_std,f4rms_mean,f4rms_std,f4rms_minus_random_mean,f4rms_minus_random_ci_half,f4rms_minus_random_p,f4rms_minus_random_sig,f4rms_minus_f4rm_mean,f4rms_minus_f4rm_ci_half,f4rms_minus_f4rm_p,f4rms_minus_f4rm_sig
Iris,4,150,7,8,50,0.931,0.045881161279520175,0.9351666666666668,0.04012786653696513,0.9568333333333334,0.033383128635563857,0.02583333333333333,0.005623571969609329,1.0357603718678175e-14,+++,0.02166666666666666,0.0051935255832975605,5.752319363884504e-13,+++
Wine,13,178,7,8,50,0.9662499999999998,0.02905728472594939,0.9672222222222221,0.029041601262389374,0.9791666666666665,0.021344692095173385,0.012916666666666672,0.004082238825953669,1.7094288563207437e-08,+++,0.01194444444444445,0.003888494117316273,2.5453499764617356e-08,+++
Seeds,7,210,7,8,50,0.8900000000000001,0.04172414249351756,0.8986904761904764,0.04646835963316211,0.914404761904762,0.0423030235511625,0.024404761904761908,0.005172067205058921,1.3065883261006608e-15,+++,0.015714285714285715,0.004967017963361204,5.4425240780234556e-08,+++
Glass,9,214,7,8,50,0.6923255813953488,0.06028911557471157,0.7016279069767442,0.06469882380307035,0.7375581395348837,0.05778799881960719,0.04523255813953488,0.00839607849919255,3.72420657350032e-17,+++,0.035930232558139534,0.007465335760574046,1.712864277096834e-15,+++
Haberman,3,306,6,8,50,0.7320967741935485,0.020819770404419454,0.7290322580645161,0.023094674937721767,0.6933064516129034,0.04531726013758637,-0.038790322580645166,0.006005228693620575,8.666305360230866e-22,---,-0.03572580645161291,0.005894574315295012,7.16929445030803e-21,---
Ecoli,7,336,8,8,50,0.8033088235294116,0.03725106906814566,0.8149264705882353,0.03892981793634593,0.8584558823529411,0.03496364334813151,0.05514705882352942,0.005477842602378135,5.343928576893517e-31,+++,0.043529411764705886,0.005224639907735152,2.8099766558195805e-27,+++
Ionosphere,34,351,8,8,50,0.9048591549295775,0.03294792403111528,0.8971126760563379,0.034418783856740236,0.9385915492957746,0.025495618566290165,0.03373239436619717,0.004109036533238626,6.88594045064121e-27,+++,0.04147887323943661,0.004590188185106526,3.0030196821142817e-29,+++
Breast Cancer,30,569,9,8,50,0.9599561403508773,0.018077434349916342,0.9617105263157896,0.01725893778931501,0.966798245614035,0.015604664026914215,0.006842105263157896,0.0018808713562420043,2.0542349385333742e-11,+++,0.0050877192982456175,0.0018618208514450155,5.915939311429924e-07,+++
Balance Scale,4,625,8,8,50,0.62468,0.07418364825446176,0.70196,0.055500992792967455,0.8472,0.024299637071549966,0.22252000000000002,0.01033723559738187,1.4151000066311728e-34,+++,0.14524,0.007599209259260475,1.3909971673620047e-34,+++
Pima Diabetes,8,768,9,8,50,0.697987012987013,0.0295461089448202,0.7053571428571428,0.030362745831524873,0.7435064935064934,0.029589177791545993,0.045519480519480536,0.004664525582727032,1.5027188865698616e-30,+++,0.038149350649350655,0.00455857289273622,8.287129373722272e-28,+++
Vehicle,18,846,9,8,50,0.6737058823529413,0.029003432123794814,0.6872058823529411,0.02991550584929599,0.7276764705882354,0.030004650923584,0.05397058823529413,0.004844475099077853,2.3953810560101274e-33,+++,0.04047058823529412,0.005122028916302238,4.288488249217091e-28,+++
Banknote,4,1372,8,8,50,0.9182181818181817,0.04203706989848051,0.9478363636363636,0.02739603008444939,0.9969272727272727,0.0036472655218375886,0.0787090909090909,0.00587944863342356,1.4116945279997627e-34,+++,0.04909090909090908,0.003864995548420488,2.0268259866438204e-34,+++
Yeast,8,1484,10,8,50,0.4508417508417509,0.025342883532838763,0.4697138047138047,0.024631548450855294,0.5885858585858587,0.025417830268055254,0.13774410774410775,0.004619099856588931,1.426589852175438e-34,+++,0.11887205387205388,0.004333077100473328,1.4264290925356203e-34,+++
Steel Plates,33,1941,10,8,50,0.8519280205655526,0.02487445638119477,0.8714010282776349,0.029814168104558017,0.9760411311053983,0.008681422000416307,0.12411311053984576,0.0035311783557811214,1.4171750852312258e-34,+++,0.1046401028277635,0.004267415299310877,1.4202132227375458e-34,+++
Segment,19,2310,11,8,50,0.9314285714285714,0.014275064142542536,0.9356818181818182,0.013189159470690427,0.9632359307359307,0.009107203356844533,0.031807359307359305,0.0017759299439088958,1.3786003734346978e-34,+++,0.02755411255411255,0.0015657740335904018,1.424053939716441e-34,+++
Waveform,40,5000,12,8,50,0.773535,0.013381858829349662,0.7782600000000001,0.012813011602728634,0.8470799999999999,0.010544168885570703,0.07354499999999996,0.0020761201115029305,1.4177742159735884e-34,+++,0.06881999999999994,0.0019226985591994771,1.4127690793302709e-34,+++
SatImage,36,6430,12,8,50,0.8282776049766718,0.014326619920305126,0.8327021772939347,0.014205988228357985,0.895443234836703,0.0068799278265413,0.0671656298600311,0.0020256587621936425,1.4282185373677516e-34,+++,0.06274105754276828,0.001967935683967603,1.4294462730161191e-34,+++
Pendigits,16,10992,13,8,50,0.9602228285584357,0.0064390650980138305,0.9679422464756707,0.0050802959697100105,0.9897294224647567,0.0021306746378585645,0.029506593906321064,0.0008721665114888621,1.4242003719195681e-34,+++,0.021787175989085958,0.0006788690927833463,1.4160972710554584e-34,+++
EEG Eye State,14,14980,13,8,50,0.6987633511348464,0.012316776551013014,0.7376251668891857,0.010674612952813547,0.9069776368491321,0.004835310316872381,0.20821428571428574,0.0017363820879901111,1.4326916274157785e-34,+++,0.1693524699599466,0.0015549498646675564,1.4331356487429699e-34,+++
Magic Gamma,10,19020,14,8,50,0.7663459516298633,0.011907811769436501,0.7831388012618297,0.008615917613448905,0.859755520504732,0.00535500427408732,0.09340956887486856,0.0017249117462805736,1.433256768720637e-34,+++,0.0766167192429022,0.0013212916957365919,1.4324494904237577e-34,+++
Letter Recognition,16,20000,14,8,50,0.8541150000000001,0.010507858987563191,0.87516625,0.006547290163105604,0.9480262500000001,0.003382299244359075,0.09391124999999999,0.0014220817211382318,1.4340442915486313e-34,+++,0.07286,0.0009178677569761779,1.4312394030177038e-34,+++
