dataset,n_features,a,t,random_mean,f4rm_mean,paired_delta,paired_delta_ci_half,wilcoxon_p,n
EEG Eye State,14,13,4,0.665347129506008,0.6962883845126835,0.030941255006675567,0.0042765052100925405,9.330334572590294e-10,50
EEG Eye State,14,13,8,0.6978237650200266,0.7350734312416556,0.03724966622162884,0.003993137619449706,7.548390027588037e-10,50
EEG Eye State,14,13,16,0.741014686248331,0.7805407209612817,0.03952603471295062,0.0033507033376618243,8.014812049467948e-10,50
EEG Eye State,14,13,32,0.7765821094793058,0.8221762349799733,0.04559412550066757,0.002911271207509176,7.543270531852816e-10,50
EEG Eye State,14,13,64,0.8172429906542056,0.8567890520694259,0.039546061415220296,0.0030621272484788234,7.55351264387376e-10,50
EEG Eye State,14,13,128,0.8535246995994661,0.8873030707610147,0.03377837116154873,0.0019953654048721512,7.531337167878101e-10,50
EEG Eye State,14,13,256,0.8804873164218958,0.9075634178905208,0.027076101468624835,0.002092342827172395,7.546683182364463e-10,50
EEG Eye State,14,13,512,0.901214953271028,0.9220026702269692,0.02078771695594126,0.0013345899106895663,7.521122069214676e-10,50
Magic Gamma,10,14,4,0.7298790746582543,0.7507991587802313,0.020920084121976882,0.005021189557106352,4.920322689511211e-08,50
Magic Gamma,10,14,8,0.7664143007360674,0.7837749737118823,0.017360672975814936,0.003771336460834496,8.995276627437873e-09,50
Magic Gamma,10,14,16,0.7968611987381705,0.8102733964248159,0.013412197686645626,0.003248634164462933,2.8420366245911942e-08,50
Magic Gamma,10,14,32,0.816955835962145,0.828764458464774,0.011808622502628803,0.0017776194394111251,1.2614562316786787e-09,50
Magic Gamma,10,14,64,0.8359884332281808,0.8435488958990537,0.007560462670872756,0.0023069603251872632,1.4562001042209387e-06,50
Magic Gamma,10,14,128,0.8490483701366981,0.8545846477392217,0.005536277602523663,0.0015482216342926599,1.3473917203561113e-07,50
Magic Gamma,10,14,256,0.8590851735015772,0.8618086225026288,0.00272344900105153,0.001272929170365711,0.00024608166299106736,50
Magic Gamma,10,14,512,0.8659148264984227,0.8682124079915878,0.002297581493165093,0.001385278654048374,0.002616912416059289,50
Yeast,8,10,4,0.409023569023569,0.42976430976430985,0.020740740740740744,0.010400084763375705,0.0004504725757365806,50
Yeast,8,10,8,0.44882154882154884,0.47070707070707074,0.021885521885521887,0.009140892644065405,6.13558587665926e-05,50
Yeast,8,10,16,0.487003367003367,0.5114478114478115,0.02444444444444444,0.00963058797708214,3.134286188316986e-05,50
Yeast,8,10,32,0.5231649831649833,0.543973063973064,0.02080808080808082,0.0096690510928915,0.00015970230881321248,50
Yeast,8,10,64,0.5551515151515151,0.5682154882154883,0.013063973063973064,0.007448742216911275,0.0018741993875080294,50
Yeast,8,10,128,0.5742087542087543,0.5845791245791246,0.01037037037037038,0.006181636845120983,0.0031280729976885645,50
Yeast,8,10,256,0.5877441077441078,0.6018855218855219,0.014141414141414147,0.00687116876002803,0.00043125892730301883,50
Yeast,8,10,512,0.601010101010101,0.606060606060606,0.005050505050505043,0.005198879986679367,0.06525882892428238,50
Banknote,4,8,4,0.8648,0.9042181818181817,0.03941818181818182,0.018298242867364558,0.00041631346848994754,50
Banknote,4,8,8,0.9286545454545455,0.9436363636363637,0.014981818181818186,0.012248079783385038,0.021288404883701432,50
Banknote,4,8,16,0.9671272727272728,0.9864,0.01927272727272726,0.006564707039342781,2.594905187887e-06,50
Banknote,4,8,32,0.9895272727272727,0.9965090909090908,0.006981818181818167,0.0028278338876015644,4.661109230687746e-05,50
Banknote,4,8,64,0.9978181818181817,0.9986181818181816,0.0008000000000000074,0.001083108107971556,0.055375998596215295,50
Banknote,4,8,128,0.9984727272727273,0.9989090909090909,0.00043636363636363697,0.0006642417164340424,0.2238340543371371,50
Banknote,4,8,256,0.9985454545454544,0.9989818181818183,0.0004363636363636392,0.0003885134202134495,0.03389485352468924,50
Banknote,4,8,512,0.9984000000000001,0.9989818181818183,0.0005818181818181855,0.00047145226658636857,0.020921335337794018,50
