a,t,random_mean,f4rm_mean,delta
4,4,0.5527481085892301,0.5536270582999555,0.0008789497107254407
8,4,0.5825990209167778,0.598064085447263,0.015465064530485129
12,4,0.6459724076546506,0.6776924788607032,0.03172007120605258
16,4,0.7070204717400981,0.7333110814419225,0.026290609701824397
20,4,0.7407432131731198,0.757053849577214,0.016310636404094248
24,4,0.7582554517133956,0.7725077881619938,0.014252336448598246
28,4,0.7313640409434803,0.7401312861593236,0.008767245215843267
32,4,0.7220516243880728,0.7271250556297285,0.005073431241655713
40,4,0.6817534490431688,0.6823208722741433,0.0005674232309744731
48,4,0.6260903426791277,0.6250890075656431,-0.0010013351134845472
56,4,0.5825100133511348,0.5825100133511348,0.0
4,8,0.558466844681798,0.5609145527369827,0.002447708055184683
8,8,0.6073097463284379,0.6257899421450823,0.018480195816644396
12,8,0.6821762349799734,0.7184468179795283,0.03627058299955488
16,8,0.7418001780151313,0.7716510903426792,0.029850912327547885
20,8,0.7826323987538939,0.8012127280818869,0.018580329327993028
24,8,0.8001891410769915,0.8125278148642635,0.012338673787272048
28,8,0.7955273698264353,0.8094793057409879,0.013951935914552571
32,8,0.7922229639519358,0.7959056519804182,0.0036826880284823726
40,8,0.737194036493102,0.7412216288384512,0.004027592345349218
48,8,0.6932799287939475,0.6901980418335558,-0.0030818869603916887
56,8,0.6217734757454383,0.6223631508678237,0.0005896751223853913
64,8,0.6102692478860702,0.6095460614152203,-0.0007231864708499014
4,16,0.5654205607476634,0.5684801958166443,0.0030596350689808816
8,16,0.6415442812639075,0.6670560747663551,0.02551179350244759
12,16,0.7244325767690254,0.764452603471295,0.04002002670226956
16,16,0.7807632398753893,0.816878059635069,0.03611481975967967
20,16,0.8196817979528259,0.8429127725856697,0.023230974632843737
24,16,0.8382064975522918,0.8588228749443704,0.020616377392078555
28,16,0.8410436137071652,0.8589786381842456,0.017935024477080397
32,16,0.8386849132176234,0.851068090787717,0.012383177570093551
40,16,0.8152536715620828,0.8223075211392968,0.007053849577214
48,16,0.7646751223854028,0.7677681352914997,0.0030930129060968703
56,16,0.7018357810413887,0.7018135291499779,-2.225189141080719e-05
64,16,0.6664886515353806,0.6672674677347575,0.0007788161993769194
4,32,0.5767578994214507,0.5802291944815309,0.0034712950600801484
8,32,0.6762794837561193,0.7036493101913662,0.02736982643524688
12,32,0.7637961726746774,0.8047285269247886,0.040932354250111214
