dataset,n_features,n_samples,a,t,bleach,random_mean,random_std,f4rm_mean,f4rm_std,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Iris,4,150,7,8,1,0.924,0.05218143821639132,0.9313333333333332,0.0377424137532083,0.0073333333333333315,0.012281758831698332,0.2161502321884905,50,n.s.
Iris,4,150,7,8,2,0.932,0.03747107728172571,0.9333333333333331,0.03688555567816587,0.001333333333333333,0.00969229705602455,0.8339893369261784,50,n.s.
Iris,4,150,7,8,3,0.92,0.04761904761904761,0.9353333333333333,0.041189788048201725,0.01533333333333333,0.012689215018186808,0.014513651861043704,50,n.s.
Iris,4,150,7,8,4,0.9179999999999999,0.053116054002003595,0.9286666666666669,0.03750132272799461,0.010666666666666665,0.015100398817396986,0.08996296751631773,50,n.s.
Wine,13,178,7,8,1,0.9722222222222223,0.027492869961410763,0.9722222222222223,0.03223824763744429,2.220446049250313e-18,0.009202790773710516,1.0,50,n.s.
Wine,13,178,7,8,2,0.9655555555555556,0.029991180361414585,0.9655555555555556,0.02781177058402419,-2.220446049250313e-18,0.009589088449062855,0.8419539602709704,50,n.s.
Wine,13,178,7,8,3,0.9594444444444444,0.03330024813080516,0.9538888888888889,0.026684848299134027,-0.00555555555555556,0.008799551054765929,0.19854279368666194,50,n.s.
Wine,13,178,7,8,4,0.9494444444444444,0.034453038208171825,0.9466666666666668,0.03673154433462266,-0.002777777777777779,0.010692676621563629,0.5805877585164392,50,n.s.
Seeds,7,210,7,8,1,0.8866666666666667,0.04125613387770423,0.8942857142857144,0.04542058226564245,0.0076190476190476164,0.012749901960407378,0.263784926436186,50,n.s.
Seeds,7,210,7,8,2,0.8900000000000001,0.03934126002245689,0.8895238095238095,0.04480509877571459,-0.0004761904761904834,0.010624081659659394,0.929267904895437,50,n.s.
Seeds,7,210,7,8,3,0.8890476190476191,0.03744896414514626,0.8914285714285712,0.040577532767365275,0.0023809523809523838,0.011254628677422758,0.750919296947562,50,n.s.
Seeds,7,210,7,8,4,0.8847619047619046,0.04572521735185322,0.8933333333333333,0.03542643963616745,0.008571428571428572,0.01089423904843493,0.15093007964903724,50,n.s.
Glass,9,214,7,8,1,0.6874418604651161,0.059460085903513864,0.712093023255814,0.06559085317564353,0.024651162790697675,0.016799999999999995,0.004414705472881988,50,n.s.
Glass,9,214,7,8,2,0.6827906976744187,0.06573709079618145,0.6874418604651162,0.0690774294664028,0.00465116279069768,0.0205503510449147,0.8522692549580275,50,n.s.
Glass,9,214,7,8,3,0.6660465116279071,0.060124630037813265,0.6479069767441861,0.06425115178269422,-0.018139534883720932,0.01694475227111554,0.04761959024977432,50,n.s.
Glass,9,214,7,8,4,0.6232558139534884,0.060168672014202104,0.6102325581395348,0.06736243952976399,-0.013023255813953494,0.016064596482346406,0.0961172614143959,50,n.s.
Haberman,3,306,6,8,1,0.7312903225806451,0.01917017458060044,0.7270967741935485,0.020567662308222486,-0.004193548387096775,0.007967352739613033,0.29934072975076464,50,n.s.
Haberman,3,306,6,8,2,0.7241935483870968,0.026119318084688092,0.7216129032258064,0.02322736078479776,-0.0025806451612903156,0.008096853874431214,0.4774283294504651,50,n.s.
Haberman,3,306,6,8,3,0.7248387096774194,0.025535526517536475,0.7264516129032259,0.02459292915046328,0.00161290322580645,0.008141567396209005,0.6324619547429688,50,n.s.
Haberman,3,306,6,8,4,0.7264516129032259,0.023713696461324603,0.7312903225806451,0.02925632210923257,0.004838709677419344,0.010068030817242293,0.32088889296137857,50,n.s.
Ecoli,7,336,8,8,1,0.8058823529411764,0.03793165984299956,0.8191176470588235,0.040763882167924904,0.013235294117647073,0.011798334290971862,0.02208634793986784,50,n.s.
Ecoli,7,336,8,8,2,0.8264705882352941,0.045834924851410566,0.83,0.04150528973071086,0.0035294117647058833,0.011338418019432474,0.42167242895743273,50,n.s.
Ecoli,7,336,8,8,3,0.8238235294117647,0.03902024628424746,0.8344117647058823,0.038601762115418596,0.01058823529411765,0.008154188852838206,0.01698265698671505,50,n.s.
Ecoli,7,336,8,8,4,0.8141176470588235,0.03599249033082699,0.8167647058823527,0.0348017375279198,0.002647058823529409,0.008466346977408173,0.49408342760154267,50,n.s.
Ionosphere,34,351,8,8,1,0.9095774647887324,0.033072742531515625,0.8971830985915493,0.03234997020284411,-0.012394366197183102,0.010333297455426363,0.015018520428304951,50,n.s.
Ionosphere,34,351,8,8,2,0.9019718309859155,0.030773528039122994,0.888732394366197,0.03393788288417104,-0.013239436619718319,0.008020675524287193,0.002063492587579141,50,---
Ionosphere,34,351,8,8,3,0.8594366197183098,0.03536786105013578,0.8478873239436621,0.03485011685249251,-0.011549295774647885,0.009355376996904797,0.03070672598168595,50,n.s.
Ionosphere,34,351,8,8,4,0.8250704225352112,0.030921828732535416,0.8138028169014084,0.029883170826459655,-0.01126760563380281,0.007647044282121533,0.011853055665429735,50,n.s.
Breast Cancer,30,569,9,8,1,0.9561403508771928,0.01763314195422342,0.9607017543859648,0.018180361988292877,0.004561403508771926,0.004057912561303681,0.02468082807944294,50,n.s.
Breast Cancer,30,569,9,8,2,0.9575438596491227,0.017665173119504853,0.9589473684210525,0.019205257203677203,0.0014035087719298177,0.004896536171825387,0.8794749369250031,50,n.s.
