dataset,n_features,n_samples,a,t,thermometer,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Iris,4,150,7,8,linear,0.9146666666666667,0.9213333333333334,0.006666666666666665,0.011805836597961946,0.18195129250690745,50,n.s.
Iris,4,150,7,8,distributive,0.924,0.9313333333333332,0.0073333333333333315,0.012281758831698332,0.2161502321884905,50,n.s.
Iris,4,150,7,8,gaussian,0.9273333333333333,0.9219999999999999,-0.005333333333333332,0.01214911793780382,0.34970420017790493,50,n.s.
Iris,4,150,7,8,exponential,0.9139999999999999,0.9180000000000001,0.004000000000000001,0.019094823033133,0.9338369975628864,50,n.s.
Wine,13,178,7,8,linear,0.9655555555555554,0.97,0.004444444444444449,0.010243070527296028,0.31956979373777683,50,n.s.
Wine,13,178,7,8,distributive,0.9722222222222223,0.9722222222222223,2.220446049250313e-18,0.009202790773710516,1.0,50,n.s.
Wine,13,178,7,8,gaussian,0.9677777777777777,0.9699999999999999,0.002222222222222223,0.009940961525394953,0.7413383579605644,50,n.s.
Wine,13,178,7,8,exponential,0.975,0.9761111111111112,0.0011111111111111094,0.008930568947631225,0.9330397957906512,50,n.s.
Seeds,7,210,7,8,linear,0.8666666666666667,0.8804761904761904,0.013809523809523806,0.015724856473466175,0.14879098427698234,50,n.s.
Seeds,7,210,7,8,distributive,0.8866666666666667,0.8942857142857144,0.0076190476190476164,0.012749901960407378,0.263784926436186,50,n.s.
Seeds,7,210,7,8,gaussian,0.8952380952380953,0.8976190476190478,0.002380952380952381,0.01308094458023239,0.7746527091285441,50,n.s.
Seeds,7,210,7,8,exponential,0.8404761904761906,0.848095238095238,0.007619047619047619,0.016462212622987363,0.310489321790011,50,n.s.
Glass,9,214,7,8,linear,0.5730232558139535,0.5697674418604651,-0.0032558139534883744,0.013659526774908434,0.9478454993384839,50,n.s.
Glass,9,214,7,8,distributive,0.6874418604651161,0.712093023255814,0.024651162790697675,0.016799999999999995,0.004414705472881988,50,n.s.
Glass,9,214,7,8,gaussian,0.641860465116279,0.6739534883720931,0.03209302325581394,0.020254826558584356,0.005325300228071955,50,n.s.
Glass,9,214,7,8,exponential,0.5716279069767441,0.5934883720930233,0.021860465116279072,0.018205095596528605,0.015100695905692647,50,n.s.
Haberman,3,306,6,8,linear,0.737741935483871,0.7361290322580646,-0.00161290322580645,0.0060758302148074764,0.7275607975523077,50,n.s.
