dataset,n_features,n_samples,a,t,backend,rand_mem_bytes_mean,f4rm_mem_bytes_mean,ratio_f4rm_over_random_mean,ratio_f4rm_over_random_std,n_paired
Iris,4,150,7,8,dense,546.9,562.7,1.032004527888163,0.08653511213488356,50
Iris,4,150,7,8,cuckoo,115.48,118.92,1.0328278553452386,0.08581102540305108,50
Iris,4,150,7,8,bloom,132.44,136.18,1.0313332466515053,0.08625367237719625,50
Wine,13,178,7,8,dense,3425.0,3654.1,1.067542342225614,0.03305191102036135,50
Wine,13,178,7,8,cuckoo,721.48,769.82,1.0676493057886334,0.03297156548303822,50
Wine,13,178,7,8,bloom,824.1,878.98,1.0672401259793975,0.032870993653653195,50
Seeds,7,210,7,8,dense,1166.4,1242.2,1.06585650182768,0.04179293488844241,50
Seeds,7,210,7,8,cuckoo,246.02,262.02,1.0658958025471699,0.04170844188850596,50
Seeds,7,210,7,8,bloom,281.54,299.6,1.0650191654475307,0.041829474733670255,50
Glass,9,214,7,8,dense,3260.1,3603.1,1.1067936406315806,0.048921437862859005,50
Glass,9,214,7,8,cuckoo,686.84,759.02,1.1066768407149556,0.048890824480198325,50
Glass,9,214,7,8,bloom,785.84,867.94,1.1060344341986499,0.04860331135883802,50
Haberman,3,306,6,8,dense,689.8,806.4,1.1763123928606936,0.11907560228749382,50
Haberman,3,306,6,8,cuckoo,145.62,170.2,1.176037415183749,0.11871577783656417,50
Haberman,3,306,6,8,bloom,166.32,194.08,1.1740413487573307,0.117914676846417,50
Ecoli,7,336,8,8,dense,1762.6,1946.0,1.105213992453064,0.04004352086561802,50
Ecoli,7,336,8,8,cuckoo,371.62,410.12,1.1047481863875073,0.039713361226955984,50
Ecoli,7,336,8,8,bloom,426.86,470.86,1.1042210000203123,0.03963815657224031,50
Ionosphere,34,351,8,8,dense,12083.4,12697.2,1.051189119048683,0.024300117390432183,50
Ionosphere,34,351,8,8,cuckoo,2544.3,2673.58,1.0512032885550497,0.02431362937405359,50
Ionosphere,34,351,8,8,bloom,2900.26,3047.22,1.0510618295640861,0.02423509933060477,50
Breast Cancer,30,569,9,8,dense,12942.4,13541.9,1.0466658728311284,0.03260323277855177,50
Breast Cancer,30,569,9,8,cuckoo,2725.14,2851.4,1.0466764719471742,0.03259865072579267,50
Breast Cancer,30,569,9,8,bloom,3105.1,3248.84,1.046632761976752,0.0324776495542493,50
Balance Scale,4,625,8,8,dense,1482.2,1738.4,1.1962889587607337,0.21065879307815089,50
Balance Scale,4,625,8,8,cuckoo,312.58,366.46,1.195785139948806,0.21062905860836822,50
Balance Scale,4,625,8,8,bloom,356.36,417.78,1.195645827783985,0.2099227333117157,50
Pima Diabetes,8,768,9,8,dense,6024.5,7478.8,1.2445604654358753,0.06775606877951999,50
Pima Diabetes,8,768,9,8,cuckoo,1268.82,1574.92,1.2444111034121987,0.06778956314691913,50
