dataset,n_features,n_samples,a,t,K,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Iris,4,150,7,8,1,0.9122222222222223,0.9322222222222221,0.019999999999999997,0.016752252283715966,0.02331562383404049,30,n.s.
Iris,4,150,7,8,5,0.94,0.9466666666666665,0.006666666666666665,0.008521303781427859,0.14458527993735387,30,n.s.
Iris,4,150,7,8,10,0.9499999999999998,0.9522222222222222,0.002222222222222222,0.006957615402582349,0.5270892568655381,30,n.s.
Iris,4,150,7,8,25,0.9488888888888888,0.9544444444444444,0.005555555555555554,0.007062597927454682,0.13166801602281422,30,n.s.
Iris,4,150,7,8,50,0.9522222222222221,0.9555555555555555,0.0033333333333333327,0.007893635181139589,0.3795370857491177,30,n.s.
Iris,4,150,7,8,100,0.9499999999999998,0.9566666666666667,0.006666666666666665,0.005776032745614964,0.033894853524689274,30,n.s.
Wine,13,178,7,8,1,0.9611111111111109,0.9694444444444444,0.00833333333333334,0.010160504172551814,0.08537235369061341,30,n.s.
Wine,13,178,7,8,5,0.9740740740740741,0.973148148148148,-0.0009259259259259263,0.006646731226430413,0.7815112949987133,30,n.s.
Wine,13,178,7,8,10,0.9777777777777776,0.973148148148148,-0.004629629629629632,0.00527492584996904,0.09558070454562939,30,n.s.
Wine,13,178,7,8,25,0.9759259259259259,0.9731481481481481,-0.002777777777777779,0.005444444444444446,0.31731050786291415,30,n.s.
Wine,13,178,7,8,50,0.9768518518518516,0.9749999999999999,-0.0018518518518518526,0.0036296296296296315,0.31731050786291415,30,n.s.
Wine,13,178,7,8,100,0.9759259259259259,0.9768518518518516,0.0009259259259259263,0.0031792766487772493,0.5637028616507731,30,n.s.
Seeds,7,210,7,8,1,0.8920634920634918,0.896031746031746,0.003968253968253965,0.015834660830281358,0.6815024509492483,30,n.s.
Seeds,7,210,7,8,5,0.9055555555555553,0.9134920634920634,0.007936507936507924,0.007192541427925335,0.10815122461720178,30,n.s.
Seeds,7,210,7,8,10,0.9134920634920634,0.9087301587301586,-0.00476190476190476,0.007554653991736872,0.22389264211207793,30,n.s.
Seeds,7,210,7,8,25,0.9103174603174603,0.915079365079365,0.00476190476190476,0.00648487778194341,0.1901684571928528,30,n.s.
Seeds,7,210,7,8,50,0.9103174603174603,0.9166666666666665,0.006349206349206338,0.006302168398410517,0.1355147945267819,30,n.s.
Seeds,7,210,7,8,100,0.9111111111111111,0.9134920634920632,0.00238095238095238,0.005175341870236079,0.5098785441756271,30,n.s.
Glass,9,214,7,8,1,0.6914728682170544,0.7147286821705426,0.023255813953488372,0.017483685040211215,0.01953645725353145,30,n.s.
Glass,9,214,7,8,5,0.7403100775193799,0.7310077519379844,-0.00930232558139535,0.01459521230323954,0.23782403851524547,30,n.s.
Glass,9,214,7,8,10,0.7372093023255815,0.7271317829457364,-0.010077519379844968,0.013415832991878793,0.13253931420554071,30,n.s.
Glass,9,214,7,8,25,0.7480620155038761,0.7294573643410853,-0.01860465116279069,0.012439859989518007,0.02228770017665209,30,n.s.
Glass,9,214,7,8,50,0.7449612403100775,0.7317829457364341,-0.013178294573643416,0.009446483458063676,0.008128221143734998,30,n.s.
Glass,9,214,7,8,100,0.7449612403100776,0.7317829457364342,-0.0131782945736434,0.009190201932388389,0.020162397144241583,30,n.s.
Haberman,3,306,6,8,1,0.7338709677419355,0.7295698924731184,-0.004301075268817201,0.009578280143560733,0.5020746995833973,30,n.s.
Haberman,3,306,6,8,5,0.7150537634408602,0.7016129032258066,-0.01344086021505377,0.011846256111270947,0.04631964630360104,30,n.s.
Haberman,3,306,6,8,10,0.7075268817204302,0.6946236559139786,-0.012903225806451623,0.0146485012174379,0.06592680243718946,30,n.s.
Haberman,3,306,6,8,25,0.7010752688172043,0.6930107526881721,-0.008064516129032254,0.011418332522964347,0.26038126272161555,30,n.s.
Haberman,3,306,6,8,50,0.693548387096774,0.6978494623655913,0.0043010752688171965,0.011734213065749297,0.6205932062814493,30,n.s.
Haberman,3,306,6,8,100,0.6935483870967742,0.6930107526881721,-0.0005376344086021501,0.006690389216254272,0.7908573841213065,30,n.s.
Ecoli,7,336,8,8,1,0.810294117647059,0.8088235294117648,-0.0014705882352941161,0.016430487017469367,0.8850065179833271,30,n.s.
Ecoli,7,336,8,8,5,0.8568627450980392,0.8558823529411765,-0.0009803921568627342,0.009467672577418207,0.916416526341306,30,n.s.
Ecoli,7,336,8,8,10,0.8588235294117647,0.8607843137254901,0.0019607843137254906,0.006139072414043252,0.5570982568659901,30,n.s.
Ecoli,7,336,8,8,25,0.8661764705882352,0.8642156862745097,-0.001960784313725487,0.0059814993599260615,0.46631197673878844,30,n.s.
Ecoli,7,336,8,8,50,0.8651960784313726,0.8676470588235292,0.0024509803921568614,0.00499875363961808,0.454326985694402,30,n.s.
Ecoli,7,336,8,8,100,0.8666666666666668,0.8666666666666666,-7.401486830834377e-18,0.004982808611307723,0.7311779625628556,30,n.s.
Ionosphere,34,351,8,8,1,0.9145539906103284,0.9061032863849765,-0.008450704225352112,0.013008932413590581,0.29370734961177336,30,n.s.
Ionosphere,34,351,8,8,5,0.9384976525821594,0.9347417840375587,-0.003755868544600934,0.00674034715919703,0.3247539183991638,30,n.s.
Ionosphere,34,351,8,8,10,0.9408450704225352,0.9408450704225352,-7.401486830834377e-18,0.005457296560335134,0.6999413117648701,30,n.s.
Ionosphere,34,351,8,8,25,0.9413145539906103,0.9427230046948357,0.001408450704225354,0.003824690806351093,0.4031101143108593,30,n.s.
Ionosphere,34,351,8,8,50,0.9408450704225351,0.9446009389671363,0.003755868544600934,0.0037280432779329877,0.1721044778347144,30,n.s.
Ionosphere,34,351,8,8,100,0.9422535211267605,0.9450704225352112,0.002816901408450708,0.0033484443164273877,0.14245289437087158,30,n.s.
Breast Cancer,30,569,9,8,1,0.9576023391812863,0.9570175438596489,-0.0005847953216374324,0.005143602344116962,0.9068026220491235,30,n.s.
Breast Cancer,30,569,9,8,5,0.9625730994152045,0.9614035087719297,-0.0011695906432748612,0.003269768182673523,0.41660308763858156,30,n.s.
