dataset,n_samples,a_default,t,K,homo_mean,hetero_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Wine,178,7,8,50,0.9749999999999999,0.9768518518518517,0.0018518518518518526,0.004470845383780824,0.4142161782425253,30,n.s.
Glass,214,7,8,50,0.7317829457364341,0.7465116279069768,0.014728682170542648,0.010129635560402842,0.0044265258579198235,30,n.s.
Ionosphere,351,8,8,50,0.9446009389671363,0.9474178403755865,0.0028169014084507152,0.00426844572741052,0.11712917182594024,30,n.s.
Breast Cancer,569,9,8,50,0.964912280701754,0.9640350877192979,-0.0008771929824561468,0.00223485968402557,0.21660575011963823,30,n.s.
Pima Diabetes,768,9,8,50,0.7487012987012989,0.7359307359307361,-0.012770562770562788,0.007284047268238584,0.0019136830697164906,30,---
Vehicle,846,9,8,50,0.7260784313725491,0.7225490196078431,-0.0035294117647058773,0.007387597893289779,0.39209928921975934,30,n.s.
Yeast,1484,10,8,50,0.5951739618406283,0.5859708193041526,-0.009203142536475858,0.007060583504870425,0.024257219474284768,30,n.s.
Steel Plates,1941,10,8,50,0.9740359897172236,0.9934018851756642,0.019365895458440436,0.002783247592256242,1.7040659206732472e-06,30,+++
Segment,2310,11,8,50,0.9624819624819625,0.9636363636363637,0.0011544011544011783,0.0017107302298385349,0.21801454963996092,30,n.s.
Waveform,5000,12,8,50,0.8451999999999998,0.8393333333333335,-0.0058666666666666685,0.0019995518884963373,4.220915582075386e-05,30,---
SatImage,6430,12,8,50,0.8965007776049766,0.9044323483670295,0.007931570762052864,0.0016149471036832693,1.7083716990437346e-06,30,+++
Pendigits,10992,13,8,50,0.9902986205851144,0.9901925117477641,-0.00010610883735031236,0.0004596440160195031,0.6557878714078275,30,n.s.
EEG Eye State,14980,13,8,50,0.9064419225634179,0.9206720071206053,0.014230084557187354,0.0013386968292295983,1.7278603148724105e-06,30,+++
Magic Gamma,19020,14,8,50,0.8593322818086225,0.8578338590956887,-0.001498422712933752,0.0016782777815388449,0.016983546809481036,30,n.s.
Letter Recognition,20000,14,8,50,0.9477916666666668,0.9471500000000003,-0.00064166666666667,0.0008295250937892452,0.12179569684852679,30,n.s.
