system_a,system_b,n_datasets,iso_acc_wins_a_total,iso_acc_wins_b_total,iso_acc_levels_total,iso_mem_wins_a_total,iso_mem_wins_b_total,iso_mem_levels_total,iso_acc_win_rate_a,iso_mem_win_rate_a
F4RM-WiSARD-cuckoo,CatBoost,21,998,113,1111,193,103,296,0.8982898289828983,0.652027027027027
F4RM-WiSARD-cuckoo,DT,20,1645,375,2020,631,211,845,0.8143564356435643,0.7467455621301775
F4RM-WiSARD-cuckoo,FT-Transformer,21,1726,92,1818,305,41,346,0.9493949394939494,0.8815028901734104
F4RM-WiSARD-cuckoo,LightGBM,14,1010,0,1010,0,0,0,1.0,0.0
F4RM-WiSARD-cuckoo,MLP,18,1472,144,1616,659,135,794,0.9108910891089109,0.8299748110831234
F4RM-WiSARD-cuckoo,RF,17,1414,0,1414,197,0,197,1.0,1.0
F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,21,648,1422,2121,476,320,850,0.3055162659123055,0.56
F4RM-WiSARD-cuckoo,Random-WiSARD-dense,21,2083,38,2121,898,2,900,0.9820839226779821,0.9977777777777778
F4RM-WiSARD-cuckoo,TabPFN,21,0,0,0,0,0,0,0.0,0.0
F4RM-WiSARD-cuckoo,XGBoost,16,1010,0,1010,49,50,99,1.0,0.494949494949495
F4RM-WiSARD-dense,CatBoost,21,808,303,1111,132,164,296,0.7272727272727273,0.44594594594594594
F4RM-WiSARD-dense,DT,20,865,1155,2020,477,509,994,0.4282178217821782,0.4798792756539235
F4RM-WiSARD-dense,FT-Transformer,21,1612,206,1818,442,101,543,0.8866886688668867,0.8139963167587477
F4RM-WiSARD-dense,LightGBM,14,995,15,1010,89,1,99,0.9851485148514851,0.898989898989899
F4RM-WiSARD-dense,MLP,18,1360,256,1616,713,180,893,0.8415841584158416,0.7984322508398656
F4RM-WiSARD-dense,RF,17,1330,84,1414,262,85,347,0.9405940594059405,0.7550432276657061
F4RM-WiSARD-dense,Random-WiSARD-cuckoo,21,7,2114,2121,9,876,897,0.0033003300330033004,0.010033444816053512
F4RM-WiSARD-dense,Random-WiSARD-dense,21,648,1422,2121,591,356,998,0.3055162659123055,0.5921843687374749
F4RM-WiSARD-dense,TabPFN,21,0,0,0,0,0,0,0.0,0.0
F4RM-WiSARD-dense,XGBoost,16,908,102,1010,43,105,148,0.899009900990099,0.2905405405405405
F4RMS,CatBoost,21,575,536,1111,79,367,446,0.5175517551755175,0.17713004484304934
F4RMS,DT,20,33,1482,1515,37,153,198,0.02178217821782178,0.18686868686868688
F4RMS,FT-Transformer,21,1003,310,1313,543,51,594,0.763899466869764,0.9141414141414141
F4RMS,LightGBM,14,984,127,1111,151,140,296,0.8856885688568857,0.5101351351351351
F4RMS,MLP,18,869,343,1212,661,182,843,0.716996699669967,0.7841043890865955
F4RMS,RF,17,874,641,1515,347,282,645,0.5768976897689769,0.537984496124031
F4RMS,Random-WiSARD-cuckoo,21,1,2019,2020,4,492,496,0.0004950495049504951,0.008064516129032258
F4RMS,Random-WiSARD-dense,21,89,1931,2020,97,670,792,0.04405940594059406,0.12247474747474747
F4RMS,TabPFN,21,0,0,0,0,0,0,0.0,0.0
F4RMS,XGBoost,16,996,115,1111,61,277,344,0.8964896489648965,0.17732558139534885
