system,dataset,criterion,hp_id,mean_acc,mean_mem_bytes,mean_train_s,mean_infer_us_per_sample,n_seeds_aggregated
BTHOWeN,Balance Scale,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8496,1152.0,0.006583183188922703,2.5520002469420433,10
BTHOWeN,Balance Scale,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8496,1152.0,0.006583183188922703,2.5520002469420433,10
BTHOWeN,Balance Scale,best_acc_per_log_mem,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.6896,48.0,0.0032216418301686646,1.4762667939066887,10
BTHOWeN,Balance Scale,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8496,1152.0,0.006583183188922703,2.5520002469420433,10
BTHOWeN,Balance Scale,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8496,1152.0,0.006583183188922703,2.5520002469420433,10
BTHOWeN,Banknote,best_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.992,1024.0,0.008173999632708729,1.5454543754458427,10
BTHOWeN,Banknote,best_mem_at_iso_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.9898181818181818,1024.0,0.007781483419239521,1.4702114699916407,10
BTHOWeN,Banknote,best_acc_per_log_mem,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.8880000000000001,32.0,0.006464783614501357,1.1445745317773386,10
BTHOWeN,Banknote,best_acc_at_small_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.992,1024.0,0.008173999632708729,1.5454543754458427,10
BTHOWeN,Banknote,best_acc_at_medium_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.992,1024.0,0.008173999632708729,1.5454543754458427,10
