f4rm_system,baseline_system,dataset,classification,f4rm_n_frontier_points,baseline_n_frontier_points,f4rm_acc_min,f4rm_acc_max,f4rm_mem_min,f4rm_mem_max,baseline_acc_min,baseline_acc_max,baseline_mem_min,baseline_mem_max,n_joint_envelope_points,n_joint_envelope_from_f4rm,n_joint_envelope_from_baseline
F4RM-WiSARD-cuckoo,DT,Balance Scale,f4rm_strict_dominates,12,25,0.2304,0.9024000000000001,49.4,4556.2,0.45600000000000007,0.7792,1250.0,3791.4,12,12,0
F4RM-WiSARD-cuckoo,DT,Banknote,f4rm_strict_dominates,17,39,0.5941818181818183,1.0,31.6,1417.4,0.8378181818181819,0.9854545454545454,1398.0,4415.0,17,17,0
F4RM-WiSARD-cuckoo,DT,Breast Cancer,f4rm_strict_dominates,8,26,0.8649122807017544,0.9631578947368421,243.4,18625.8,0.9017543859649123,0.9438596491228071,1559.0,2653.4,8,8,0
F4RM-WiSARD-cuckoo,DT,EEG Eye State,mixed,37,96,0.5510680907877169,0.9427236315086782,117.0,756942.6,0.5510680907877169,0.8411882510013351,1238.0,167339.0,100,33,67
F4RM-WiSARD-cuckoo,DT,Ecoli,f4rm_strict_dominates,10,26,0.7588235294117647,0.8705882352941176,111.6,12086.8,0.7529411764705882,0.8352941176470589,1892.0,3377.8,10,10,0
F4RM-WiSARD-cuckoo,DT,Glass,f4rm_strict_dominates,11,34,0.5813953488372092,0.7534883720930232,175.2,7000.8,0.48372093023255813,0.7162790697674419,1970.0,6684.0,11,11,0
F4RM-WiSARD-cuckoo,DT,Haberman,mixed,6,12,0.7419354838709677,0.7483870967741936,25.0,337.8,0.7419354838709677,0.7612903225806452,1238.0,2717.0,9,6,3
F4RM-WiSARD-cuckoo,DT,Ionosphere,mixed,12,19,0.352112676056338,0.9492957746478872,268.2,73764.6,0.8676056338028169,0.9014084507042254,1528.4,1817.0,21,12,9
F4RM-WiSARD-cuckoo,DT,Iris,f4rm_strict_dominates,7,26,0.8666666666666668,0.9666666666666668,24.6,1631.2,0.9466666666666667,0.9666666666666668,1846.0,2308.4,7,7,0
F4RM-WiSARD-cuckoo,DT,Letter Recognition,f4rm_strict_dominates,24,29,0.09419999999999999,0.95335,1670.8,986055.8,0.4225833333333333,0.8851666666666667,11505.333333333334,996713.3333333334,24,24,0
F4RM-WiSARD-cuckoo,DT,Magic Gamma,mixed,29,15,0.64863301787592,0.8691903259726603,84.0,468652.0,0.6482649842271293,0.8442691903259727,1238.0,63936.8,31,22,9
F4RM-WiSARD-cuckoo,DT,Pendigits,f4rm_strict_dominates,18,118,0.3292405638926785,0.9899045020463847,581.6,316209.8,0.10413824465666213,0.9628922237380628,1334.0,76695.8,18,18,0
F4RM-WiSARD-cuckoo,DT,Pima Diabetes,mixed,13,31,0.6493506493506493,0.7675324675324675,67.0,9384.2,0.6493506493506493,0.7701298701298701,1351.0,2734.8,23,10,13
F4RM-WiSARD-cuckoo,DT,SatImage,mixed,28,77,0.3097978227060653,0.9122861586314153,858.2,571973.2,0.6979782270606532,0.8682737169517886,1942.6,15384.2,70,25,45
