f4rm_system,baseline_system,n_feasible_datasets,n_strict_dominates,n_partial_dominates,n_mixed,n_strict_dominated,n_partial_dominated,mean_pct_envelope_from_f4rm
F4RM-WiSARD-cuckoo,DT,21,11,0,10,0,0,0.741384171726887
F4RM-WiSARD-cuckoo,RF,21,9,0,12,0,0,0.8932917259104853
F4RM-WiSARD-cuckoo,XGBoost,21,6,0,15,0,0,0.8895170601984671
F4RM-WiSARD-cuckoo,LightGBM,21,6,0,15,0,0,0.8363559707065532
F4RM-WiSARD-cuckoo,CatBoost,21,3,0,18,0,0,0.9028740331721641
F4RM-WiSARD-cuckoo,MLP,21,14,0,7,0,0,0.9051199427139277
F4RM-WiSARD-cuckoo,FT-Transformer,21,18,0,3,0,0,0.9854242979242979
F4RM-WiSARD-cuckoo,BTHOWeN,21,1,0,20,0,0,0.721342213653138
F4RM-WiSARD-cuckoo,DWN,21,12,0,9,0,0,0.9635361719105562
F4RM-WiSARD-cuckoo,ULEEN,21,4,0,17,0,0,0.7753877619423839
F4RM-WiSARD-dense,DT,21,5,0,16,0,0,0.47503458141460486
F4RM-WiSARD-dense,RF,21,9,0,12,0,0,0.8734178982432177
F4RM-WiSARD-dense,XGBoost,21,5,0,16,0,0,0.868345312727863
F4RM-WiSARD-dense,LightGBM,21,5,0,16,0,0,0.8127377279277427
F4RM-WiSARD-dense,CatBoost,21,2,0,19,0,0,0.8823184648339927
F4RM-WiSARD-dense,MLP,21,12,0,9,0,0,0.8173915196471587
F4RM-WiSARD-dense,FT-Transformer,21,16,0,5,0,0,0.9760497397339504
F4RM-WiSARD-dense,BTHOWeN,21,0,0,20,1,0,0.4910381129918944
F4RM-WiSARD-dense,DWN,21,8,0,13,0,0,0.893246039674611
F4RM-WiSARD-dense,ULEEN,21,0,0,19,2,0,0.520512999769609
F4RMS,DT,21,0,0,17,4,0,0.13351308215192562
F4RMS,RF,21,6,0,13,2,0,0.5850237064522779
F4RMS,XGBoost,21,6,0,13,2,0,0.668681847253276
F4RMS,LightGBM,21,6,0,12,3,0,0.5766903731189444
F4RMS,CatBoost,21,2,0,16,3,0,0.6062169312169312
F4RMS,MLP,21,0,0,18,3,0,0.41862939507786917
F4RMS,FT-Transformer,21,12,0,8,1,0,0.8384353741496599
F4RMS,BTHOWeN,21,0,0,20,1,0,0.43479667784179055
F4RMS,DWN,21,4,0,15,2,0,0.6640967498110355
F4RMS,ULEEN,21,0,0,17,4,0,0.3720855863713006
Random-WiSARD-cuckoo,DT,21,11,0,10,0,0,0.7339924885702043
Random-WiSARD-cuckoo,RF,21,8,0,13,0,0,0.8906298559582314
Random-WiSARD-cuckoo,XGBoost,21,6,0,15,0,0,0.8844509773606413
Random-WiSARD-cuckoo,LightGBM,21,6,0,15,0,0,0.8375329946250251
Random-WiSARD-cuckoo,CatBoost,21,3,0,18,0,0,0.901402166261513
Random-WiSARD-cuckoo,MLP,21,14,0,7,0,0,0.9027225268711339
Random-WiSARD-cuckoo,FT-Transformer,21,17,0,4,0,0,0.9819624819624819
Random-WiSARD-cuckoo,BTHOWeN,21,2,0,19,0,0,0.7340197519499675
Random-WiSARD-cuckoo,DWN,21,12,0,9,0,0,0.9604990247847391
Random-WiSARD-cuckoo,ULEEN,21,4,0,17,0,0,0.770762625040984
