f4rm_system,baseline_system,criterion,n_comparable_datasets,n_f4rm_wins,n_baseline_wins,n_ties
F4RM-WiSARD-cuckoo,DT,best_acc,21,16,4,1
F4RM-WiSARD-cuckoo,DT,best_mem_at_iso_acc,21,16,5,0
F4RM-WiSARD-cuckoo,DT,best_acc_per_log_mem,21,18,2,1
F4RM-WiSARD-cuckoo,DT,best_acc_at_small_budget,20,12,7,1
F4RM-WiSARD-cuckoo,DT,best_acc_at_medium_budget,21,16,4,1
F4RM-WiSARD-cuckoo,RF,best_acc,21,7,12,2
F4RM-WiSARD-cuckoo,RF,best_mem_at_iso_acc,21,20,1,0
F4RM-WiSARD-cuckoo,RF,best_acc_per_log_mem,21,21,0,0
F4RM-WiSARD-cuckoo,RF,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-cuckoo,RF,best_acc_at_medium_budget,14,10,3,1
F4RM-WiSARD-cuckoo,XGBoost,best_acc,21,6,15,0
F4RM-WiSARD-cuckoo,XGBoost,best_mem_at_iso_acc,21,19,2,0
F4RM-WiSARD-cuckoo,XGBoost,best_acc_per_log_mem,21,21,0,0
F4RM-WiSARD-cuckoo,XGBoost,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-cuckoo,XGBoost,best_acc_at_medium_budget,4,2,2,0
F4RM-WiSARD-cuckoo,LightGBM,best_acc,21,5,15,1
F4RM-WiSARD-cuckoo,LightGBM,best_mem_at_iso_acc,21,19,2,0
F4RM-WiSARD-cuckoo,LightGBM,best_acc_per_log_mem,21,21,0,0
F4RM-WiSARD-cuckoo,LightGBM,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-cuckoo,LightGBM,best_acc_at_medium_budget,4,3,1,0
F4RM-WiSARD-cuckoo,CatBoost,best_acc,21,3,18,0
F4RM-WiSARD-cuckoo,CatBoost,best_mem_at_iso_acc,21,18,3,0
F4RM-WiSARD-cuckoo,CatBoost,best_acc_per_log_mem,21,21,0,0
F4RM-WiSARD-cuckoo,CatBoost,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-cuckoo,CatBoost,best_acc_at_medium_budget,14,6,8,0
F4RM-WiSARD-cuckoo,MLP,best_acc,21,15,6,0
F4RM-WiSARD-cuckoo,MLP,best_mem_at_iso_acc,21,17,4,0
F4RM-WiSARD-cuckoo,MLP,best_acc_per_log_mem,21,18,3,0
