dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Balance Scale,F4RM-WiSARD-dense,Random-WiSARD-dense,101,40,45,50,25,18,0.2304,0.9008,237.0,17512.0
Balance Scale,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.2304,0.9008,237.0,3686.4
Balance Scale,F4RM-WiSARD-dense,DT,101,101,0,49,49,0,0.45600000000000007,0.7792,1250.0,3791.4
Balance Scale,F4RM-WiSARD-dense,RF,101,101,0,0,0,0,0.8272,0.8656,58700.6,21644.0
Balance Scale,F4RM-WiSARD-dense,CatBoost,0,0,0,0,0,0,0.9173333333333334,0.9024000000000001,64560.0,21644.0
Balance Scale,F4RM-WiSARD-dense,XGBoost,101,101,0,0,0,0,0.8848,0.9024000000000001,490686.6,21644.0
Balance Scale,F4RM-WiSARD-dense,LightGBM,101,101,0,0,0,0,0.9008,0.9024000000000001,304656.2,21644.0
Balance Scale,F4RM-WiSARD-dense,MLP,101,99,2,50,42,8,0.7712,0.9024000000000001,1036.0,21644.0
Balance Scale,F4RM-WiSARD-dense,FT-Transformer,101,101,0,0,0,0,0.8506666666666667,0.9024000000000001,69548.0,21644.0
Balance Scale,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.2304,0.9024000000000001,237.0,0.0
Balance Scale,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,50,50,0,0.2304,0.9008,233.0,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,40,45,50,13,28,0.2304,0.9008,49.4,3686.4
Balance Scale,F4RM-WiSARD-cuckoo,DT,101,101,0,49,49,0,0.45600000000000007,0.7792,1250.0,3791.4
Balance Scale,F4RM-WiSARD-cuckoo,RF,101,101,0,0,0,0,0.8272,0.8656,58700.6,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,CatBoost,0,0,0,0,0,0,0.9173333333333334,0.9024000000000001,64560.0,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,XGBoost,101,101,0,0,0,0,0.8848,0.9024000000000001,490686.6,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,LightGBM,101,101,0,0,0,0,0.9008,0.9024000000000001,304656.2,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,MLP,101,101,0,50,50,0,0.7712,0.9024000000000001,1036.0,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,FT-Transformer,101,101,0,0,0,0,0.8506666666666667,0.9024000000000001,69548.0,4556.2
Balance Scale,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.2304,0.9024000000000001,49.4,0.0
Balance Scale,F4RMS,Random-WiSARD-dense,101,0,101,50,0,50,0.7183999999999999,0.9008,2914.0,17512.0
Balance Scale,F4RMS,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.7183999999999999,0.9008,2914.0,3686.4
