system,dataset,mem_band,best_acc_in_band,hp_id_at_best,n_seeds
BTHOWeN,Balance Scale,<1KB,0.8368,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Balance Scale,1-10KB,0.8496,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Banknote,<1KB,0.986909090909091,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 4}",10
BTHOWeN,Banknote,1-10KB,0.992,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Breast Cancer,<1KB,0.9491228070175438,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Breast Cancer,1-10KB,0.9596491228070174,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Breast Cancer,10-100KB,0.9491228070175438,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,EEG Eye State,<1KB,0.580173564753004,"{""addressSize"": 28, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 4}",10
BTHOWeN,EEG Eye State,1-10KB,0.5785046728971962,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,EEG Eye State,10-100KB,0.5667556742323098,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Ecoli,<1KB,0.8176470588235294,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Ecoli,1-10KB,0.8411764705882353,"{""addressSize"": 8, ""bitsPerInput"": 8, ""numBits"": 1024, ""numHashes"": 2}",5
BTHOWeN,Ecoli,10-100KB,0.8205882352941176,"{""addressSize"": 4, ""bitsPerInput"": 6, ""numBits"": 1024, ""numHashes"": 3}",5
BTHOWeN,Glass,<1KB,0.6744186046511629,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Glass,1-10KB,0.6604651162790698,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 4}",10
BTHOWeN,Glass,10-100KB,0.6465116279069767,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Haberman,<1KB,0.7516129032258064,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Haberman,1-10KB,0.7516129032258064,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Ionosphere,<1KB,0.8845070422535211,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Ionosphere,1-10KB,0.9183098591549296,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Ionosphere,10-100KB,0.895774647887324,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Iris,<1KB,0.96,"{""addressSize"": 2, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 1}",10
BTHOWeN,Iris,1-10KB,0.9400000000000001,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Letter Recognition,<1KB,0.24609999999999999,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Letter Recognition,1-10KB,0.7536,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Letter Recognition,10-100KB,0.900925,"{""addressSize"": 20, ""bitsPerInput"": 15, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Letter Recognition,100KB-1MB,0.7295,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Magic Gamma,<1KB,0.7656677181913775,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Magic Gamma,1-10KB,0.7874868559411146,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Pendigits,<1KB,0.8875852660300136,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Pendigits,1-10KB,0.9715325147794452,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Pendigits,10-100KB,0.9757162346521145,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Pima Diabetes,<1KB,0.7155844155844155,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Pima Diabetes,1-10KB,0.7337662337662337,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,SatImage,<1KB,0.8363919129082426,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,SatImage,1-10KB,0.8650077760497668,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,SatImage,10-100KB,0.8796267496111975,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Seeds,<1KB,0.9047619047619048,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Seeds,1-10KB,0.9095238095238095,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Segment,<1KB,0.919047619047619,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Segment,1-10KB,0.9385281385281384,"{""addressSize"": 28, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Segment,10-100KB,0.9415584415584416,"{""addressSize"": 28, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Steel Plates,<1KB,0.8262210796915166,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Steel Plates,1-10KB,0.8910025706940875,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,Steel Plates,10-100KB,0.8365038560411311,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Vehicle,<1KB,0.6341176470588236,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,Vehicle,1-10KB,0.6905882352941177,"{""addressSize"": 16, ""bitsPerInput"": 8, ""numBits"": 1024, ""numHashes"": 2}",5
BTHOWeN,Vehicle,10-100KB,0.6717647058823529,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Waveform,<1KB,0.7644,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Waveform,1-10KB,0.8106,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Waveform,10-100KB,0.8154,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Wine,<1KB,0.961111111111111,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Wine,1-10KB,0.9666666666666666,"{""addressSize"": 4, ""bitsPerInput"": 8, ""numBits"": 256, ""numHashes"": 2}",5
BTHOWeN,Wine,10-100KB,0.9388888888888889,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,Yeast,<1KB,0.49696969696969695,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,Yeast,1-10KB,0.5070707070707071,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,Yeast,10-100KB,0.5252525252525253,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,australian,<1KB,0.846376811594203,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,australian,1-10KB,0.8565217391304347,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,australian,10-100KB,0.8434782608695652,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,blood-transfusion,<1KB,0.7746666666666666,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",5
BTHOWeN,blood-transfusion,1-10KB,0.768,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 2}",5
BTHOWeN,christine,1-10KB,0.546309963099631,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",5
BTHOWeN,christine,10-100KB,0.6654981549815498,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,christine,100KB-1MB,0.6750922509225092,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,christine,>1MB,0.622140221402214,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,higgs-small,<1KB,0.5475471698113208,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",5
BTHOWeN,higgs-small,1-10KB,0.5567975522692504,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 4}",5
BTHOWeN,higgs-small,10-100KB,0.5566751657317696,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",5
BTHOWeN,jasmine,<1KB,0.7644891122278057,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",5
BTHOWeN,jasmine,1-10KB,0.7695142378559464,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 512, ""numHashes"": 2}",5
BTHOWeN,jasmine,10-100KB,0.7701842546063652,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",5
BTHOWeN,jasmine,100KB-1MB,0.7574539363484087,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",5
BTHOWeN,miniboone,<1KB,0.8350824587706146,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",10
BTHOWeN,miniboone,1-10KB,0.8392957367470111,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",10
BTHOWeN,miniboone,10-100KB,0.8350901472340752,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,nomao,<1KB,0.8833889453068331,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",10
BTHOWeN,nomao,1-10KB,0.9321630639779487,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 2}",10
BTHOWeN,nomao,10-100KB,0.9426954881764109,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,phoneme,<1KB,0.7837187789084181,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 4}",10
BTHOWeN,phoneme,1-10KB,0.7972247918593894,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",10
BTHOWeN,skin-segmentation,<1KB,0.9805965885905493,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",5
BTHOWeN,skin-segmentation,1-10KB,0.9778911287031746,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",5
