f4rm_system,baseline_system,mem_band,n_datasets_both_have_rows,n_f4rm_wins,n_baseline_wins,n_ties
F4RM-WiSARD-cuckoo,DT,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,DT,1-10KB,20,12,7,1
F4RM-WiSARD-cuckoo,DT,10-100KB,13,12,1,0
F4RM-WiSARD-cuckoo,DT,100KB-1MB,3,3,0,0
F4RM-WiSARD-cuckoo,DT,>1MB,0,0,0,0
F4RM-WiSARD-cuckoo,RF,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,RF,1-10KB,0,0,0,0
F4RM-WiSARD-cuckoo,RF,10-100KB,11,8,3,0
F4RM-WiSARD-cuckoo,RF,100KB-1MB,9,5,3,1
F4RM-WiSARD-cuckoo,RF,>1MB,1,0,1,0
F4RM-WiSARD-cuckoo,XGBoost,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,XGBoost,1-10KB,0,0,0,0
F4RM-WiSARD-cuckoo,XGBoost,10-100KB,4,2,2,0
F4RM-WiSARD-cuckoo,XGBoost,100KB-1MB,6,1,5,0
F4RM-WiSARD-cuckoo,XGBoost,>1MB,1,0,1,0
F4RM-WiSARD-cuckoo,LightGBM,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,LightGBM,1-10KB,0,0,0,0
F4RM-WiSARD-cuckoo,LightGBM,10-100KB,3,2,1,0
F4RM-WiSARD-cuckoo,LightGBM,100KB-1MB,7,1,6,0
F4RM-WiSARD-cuckoo,LightGBM,>1MB,1,0,1,0
F4RM-WiSARD-cuckoo,CatBoost,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,CatBoost,1-10KB,0,0,0,0
F4RM-WiSARD-cuckoo,CatBoost,10-100KB,11,3,8,0
F4RM-WiSARD-cuckoo,CatBoost,100KB-1MB,9,2,6,1
F4RM-WiSARD-cuckoo,CatBoost,>1MB,1,0,1,0
F4RM-WiSARD-cuckoo,MLP,<1KB,2,2,0,0
F4RM-WiSARD-cuckoo,MLP,1-10KB,20,16,4,0
F4RM-WiSARD-cuckoo,MLP,10-100KB,16,13,2,1
F4RM-WiSARD-cuckoo,MLP,100KB-1MB,9,5,4,0
F4RM-WiSARD-cuckoo,MLP,>1MB,0,0,0,0
F4RM-WiSARD-cuckoo,FT-Transformer,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,FT-Transformer,1-10KB,0,0,0,0
F4RM-WiSARD-cuckoo,FT-Transformer,10-100KB,18,17,1,0
F4RM-WiSARD-cuckoo,FT-Transformer,100KB-1MB,9,7,2,0
F4RM-WiSARD-cuckoo,FT-Transformer,>1MB,0,0,0,0
F4RM-WiSARD-cuckoo,BTHOWeN,<1KB,20,7,12,1
F4RM-WiSARD-cuckoo,BTHOWeN,1-10KB,21,17,3,1
F4RM-WiSARD-cuckoo,BTHOWeN,10-100KB,14,14,0,0
F4RM-WiSARD-cuckoo,BTHOWeN,100KB-1MB,1,1,0,0
F4RM-WiSARD-cuckoo,BTHOWeN,>1MB,0,0,0,0
F4RM-WiSARD-cuckoo,DWN,<1KB,0,0,0,0
F4RM-WiSARD-cuckoo,DWN,1-10KB,21,18,3,0
F4RM-WiSARD-cuckoo,DWN,10-100KB,18,12,4,2
F4RM-WiSARD-cuckoo,DWN,100KB-1MB,0,0,0,0
F4RM-WiSARD-cuckoo,DWN,>1MB,0,0,0,0
F4RM-WiSARD-cuckoo,ULEEN,<1KB,20,11,9,0
F4RM-WiSARD-cuckoo,ULEEN,1-10KB,21,11,9,1
F4RM-WiSARD-cuckoo,ULEEN,10-100KB,10,8,2,0
F4RM-WiSARD-cuckoo,ULEEN,100KB-1MB,0,0,0,0
F4RM-WiSARD-cuckoo,ULEEN,>1MB,0,0,0,0
F4RM-WiSARD-dense,DT,<1KB,0,0,0,0
F4RM-WiSARD-dense,DT,1-10KB,20,8,10,2
F4RM-WiSARD-dense,DT,10-100KB,14,10,4,0
F4RM-WiSARD-dense,DT,100KB-1MB,4,4,0,0
F4RM-WiSARD-dense,DT,>1MB,1,1,0,0
F4RM-WiSARD-dense,RF,<1KB,0,0,0,0
F4RM-WiSARD-dense,RF,1-10KB,0,0,0,0
F4RM-WiSARD-dense,RF,10-100KB,14,10,4,0
F4RM-WiSARD-dense,RF,100KB-1MB,14,8,6,0
F4RM-WiSARD-dense,RF,>1MB,7,1,6,0
F4RM-WiSARD-dense,XGBoost,<1KB,0,0,0,0
F4RM-WiSARD-dense,XGBoost,1-10KB,0,0,0,0
F4RM-WiSARD-dense,XGBoost,10-100KB,4,2,2,0
F4RM-WiSARD-dense,XGBoost,100KB-1MB,10,3,7,0
F4RM-WiSARD-dense,XGBoost,>1MB,7,0,7,0
F4RM-WiSARD-dense,LightGBM,<1KB,0,0,0,0
F4RM-WiSARD-dense,LightGBM,1-10KB,0,0,0,0
F4RM-WiSARD-dense,LightGBM,10-100KB,4,2,1,1
F4RM-WiSARD-dense,LightGBM,100KB-1MB,11,1,9,1
F4RM-WiSARD-dense,LightGBM,>1MB,6,0,6,0
F4RM-WiSARD-dense,CatBoost,<1KB,0,0,0,0
F4RM-WiSARD-dense,CatBoost,1-10KB,0,0,0,0
