dataset,task,thermometer_type,thermometer_size,address_size,hash_mode,num_hashes,filter_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,8,4,murmur,2,16,0.5741822429906542,0.4892460452605043,0.5411080493584718,0.503883069065859,0.01098,0.9932,0.1
Fridge,binary,Distributive,8,4,murmur,2,64,0.5448097463284379,0.49407492120585383,0.5339676005644284,0.4967579428707168,0.01031,0.979,0.1
Fridge,binary,Distributive,8,4,murmur,2,256,0.5943758344459279,0.43994081512188976,0.5131704508541207,0.4958542371874814,0.0104,0.9799,0.1
Fridge,binary,Distributive,8,4,murmur,2,1024,0.589869826435247,0.4449819598331317,0.5155920192714318,0.49322899222044064,0.01068,0.9989,0.1
Fridge,binary,Distributive,8,4,murmur,4,16,0.5236982643524699,0.5081307056536485,0.5299194463465581,0.5110880693627887,0.01069,0.9978,0.1
Fridge,binary,Distributive,8,4,murmur,4,64,0.5972963951935915,0.44484570694179,0.5172840594486968,0.49622799750579005,0.01085,1.0287,0.1
Fridge,binary,Distributive,8,4,murmur,4,256,0.5749332443257676,0.48595047696934374,0.5392045038027913,0.5001649444741374,0.01064,0.9851,0.1
Fridge,binary,Distributive,8,4,murmur,4,1024,0.5972963951935915,0.44484570694179,0.5172840594486968,0.49892802422946725,0.01091,0.9895,0.1
Fridge,binary,Distributive,8,4,murmur,8,16,0.5972963951935915,0.44484570694179,0.5172840594486968,0.49766874517489157,0.01082,1.0373,0.1
Fridge,binary,Distributive,8,4,murmur,8,64,0.6005507343124166,0.4515085186813004,0.5227014066984688,0.5018691727537264,0.01137,1.0496,0.1
Fridge,binary,Distributive,8,4,murmur,8,256,0.5700934579439252,0.48105409743361127,0.5345781610441626,0.49548595522299427,0.01146,1.0577,0.1
Fridge,binary,Distributive,8,4,murmur,8,1024,0.5675901201602136,0.4807872925978053,0.5336484430970352,0.4965672545875647,0.01125,1.0428,0.1
Fridge,binary,Distributive,8,4,simhash,2,16,0.5131008010680908,0.49238407037304593,0.5179184464135308,0.4947420125898213,0.02919,2.2297,0.1
Fridge,binary,Distributive,8,4,simhash,2,64,0.5477303070761015,0.5009250898650603,0.538981429962539,0.5030432478175664,0.05516,4.5418,0.1
Fridge,binary,Distributive,8,4,simhash,2,256,0.5733477970627503,0.4815374248144258,0.5358626579671127,0.5004141427638221,0.05635,4.8931,0.1
Fridge,binary,Distributive,8,4,simhash,2,1024,0.5637516688918558,0.4952080647656371,0.5415246668291871,0.5031961517904864,0.05296,5.3544,0.1
Fridge,binary,Distributive,8,4,simhash,4,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.5,0.05666,4.9877,0.1
Fridge,binary,Distributive,8,4,simhash,4,64,0.5723464619492656,0.4944156338954763,0.543840839190377,0.5060700754201557,0.08008,5.5039,0.1
Fridge,binary,Distributive,8,4,simhash,4,256,0.5642523364485982,0.4783972142976618,0.5310898684520003,0.4938505849516005,0.0714,5.9804,0.1
Fridge,binary,Distributive,8,4,simhash,4,1024,0.5483978638184246,0.5071222241041728,0.5426373650809108,0.5072113545935032,0.05618,4.6049,0.1
Fridge,binary,Distributive,8,4,simhash,8,16,0.5367990654205608,0.5007319308339678,0.5341452588707245,0.5009324187897144,0.05121,4.0679,0.1
Fridge,binary,Distributive,8,4,simhash,8,64,0.5947930574098799,0.4528421895073819,0.5222362573024432,0.49993942633172983,0.07096,5.226,0.1
Fridge,binary,Distributive,8,4,simhash,8,256,0.5972963951935915,0.44484570694179,0.5172840594486968,0.49766874517489157,0.05938,4.6058,0.1
Fridge,binary,Distributive,8,4,simhash,8,1024,0.5708444592790387,0.48607980949192864,0.538049752981704,0.5014880337312191,0.06996,5.5697,0.1
Fridge,binary,Distributive,8,4,h3,2,16,0.5111815754339119,0.4958779952782388,0.5177486289873042,0.49871868875823977,0.01805,1.9485,0.1
Fridge,binary,Distributive,8,4,h3,2,64,0.5691755674232309,0.48508185314132823,0.5368959442867335,0.5003811093295326,0.01833,1.9797,0.1
Fridge,binary,Distributive,8,4,h3,2,256,0.5406375166889186,0.49889000568356284,0.5349046263369255,0.49975265752123055,0.01972,2.0088,0.1
Fridge,binary,Distributive,8,4,h3,2,1024,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.4977724924282914,0.01858,1.951,0.1
Fridge,binary,Distributive,8,4,h3,4,16,0.5438084112149533,0.5073766548297711,0.5407342372333869,0.5105233683710434,0.02956,3.3458,0.1
Fridge,binary,Distributive,8,4,h3,4,64,0.5710947930574098,0.48600377433810565,0.5380775232836356,0.4981903913534058,0.01952,1.9662,0.1
Fridge,binary,Distributive,8,4,h3,4,256,0.595043391188251,0.4526143286570157,0.5221396554348998,0.49896603123700933,0.01909,1.9708,0.1
Fridge,binary,Distributive,8,4,h3,4,1024,0.545477303070761,0.49997830300481516,0.5375354305834548,0.5014567967218956,0.01746,1.8225,0.1
Fridge,binary,Distributive,8,4,h3,8,16,0.5440587449933244,0.49613210148924436,0.5348261231927549,0.4981502464516895,0.01398,1.0987,0.1
Fridge,binary,Distributive,8,4,h3,8,64,0.5671728971962616,0.4769605136918385,0.5310480669120915,0.49441682997802716,0.01152,1.078,0.1
Fridge,binary,Distributive,8,4,h3,8,256,0.5211949265687583,0.5052407324776679,0.5273630908270238,0.5079762456202862,0.01195,1.0699,0.1
Fridge,binary,Distributive,8,4,h3,8,1024,0.5653371161548731,0.48500867883749044,0.5356531024493792,0.4978645406496823,0.01287,1.1071,0.1
Fridge,binary,Distributive,8,8,murmur,2,16,0.595043391188251,0.4526143286570157,0.5221396554348998,0.49896603123700933,0.00933,0.837,0.1
Fridge,binary,Distributive,8,8,murmur,2,64,0.6199933244325768,0.394428198504111,0.4864553157820084,0.49892829146623907,0.0098,0.8249,0.1
Fridge,binary,Distributive,8,8,murmur,2,256,0.5947930574098799,0.4528421895073819,0.5222362573024432,0.49993942633172983,0.00881,0.8315,0.1
Fridge,binary,Distributive,8,8,murmur,2,1024,0.5972963951935915,0.4521770311288505,0.5223839348852037,0.5001496525921967,0.00889,0.8463,0.1
Fridge,binary,Distributive,8,8,murmur,4,16,0.595043391188251,0.4526143286570157,0.5221396554348998,0.49896603123700933,0.00939,0.8355,0.1
