dataset,task,thermometer_type,thermometer_size,address_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,8,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.03384,9.4324,2.9
Fridge,binary,Distributive,8,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.07924,19.8495,2.69
Fridge,binary,Distributive,16,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.25597,101.6584,7.15
Fridge,binary,Distributive,16,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.2058,45.0006,6.16
Fridge,binary,Distributive,16,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.17326,43.1659,6.16
Fridge,binary,Distributive,32,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.62695,623.3731,20.23
Fridge,binary,Distributive,32,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.21133,93.6244,16.16
Fridge,binary,Distributive,32,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.18461,48.3652,15.12
Fridge,binary,Gaussian,8,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.03215,11.0597,2.9
Fridge,binary,Gaussian,8,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.03171,7.2785,2.68
Fridge,binary,Gaussian,16,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.07708,43.4222,7.15
Fridge,binary,Gaussian,16,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.07725,20.9274,6.17
Fridge,binary,Gaussian,16,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.07284,16.2302,6.17
Fridge,binary,Gaussian,32,4,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.27143,246.4453,20.85
Fridge,binary,Gaussian,32,8,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.21163,92.1824,16.63
Fridge,binary,Gaussian,32,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,,0.19877,49.9214,15.58
Fridge,multiclass,Distributive,8,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.0359,162.9621,9.46
Fridge,multiclass,Distributive,8,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.03391,81.4256,8.71
Fridge,multiclass,Distributive,16,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.09079,673.693,24.34
Fridge,multiclass,Distributive,16,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.07889,320.5931,20.84
Fridge,multiclass,Distributive,16,16,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.07953,161.8685,20.88
Fridge,multiclass,Distributive,32,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.28599,3069.7418,70.05
Fridge,multiclass,Distributive,32,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.21835,1239.7944,55.79
Fridge,multiclass,Distributive,32,16,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.19138,550.1661,52.17
Fridge,multiclass,Gaussian,8,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.03504,149.9466,9.47
Fridge,multiclass,Gaussian,8,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.03427,76.655,8.71
Fridge,multiclass,Gaussian,16,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.08602,655.2397,24.33
Fridge,multiclass,Gaussian,16,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.07888,290.396,20.85
Fridge,multiclass,Gaussian,16,16,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.07697,163.5768,20.87
Fridge,multiclass,Gaussian,32,4,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.30613,2998.4164,72.18
Fridge,multiclass,Gaussian,32,8,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.23076,1270.6768,57.5
Fridge,multiclass,Gaussian,32,16,0.37550066755674233,0.0779977120671127,0.20501735064369575,,0.19945,594.265,53.72
GPS_Tracker,binary,Distributive,8,4,0.8773205577893747,0.8668975667115157,0.875466023760847,,0.07492,48.6404,7.06
GPS_Tracker,binary,Distributive,8,8,0.8773205577893747,0.8668975667115157,0.875466023760847,,0.06328,24.0589,5.5
GPS_Tracker,binary,Distributive,8,16,0.6150226708871589,0.3808136455132959,0.4684180507477259,,0.05526,12.1025,4.73
GPS_Tracker,binary,Distributive,16,4,0.8729574813927624,0.8595788780002747,0.8695497938878578,,0.26688,226.936,24.21
